run_id,skew,row_bytes,cores,exec_mem,partitions,aqe,codec,rep,wall_seconds,actual_size_skew,actual_time_skew,cpu_ms_total,delta_ctxt,delta_pgpgout_kb,delta_psi_cpu_some_us,delta_psi_io_full_us,delta_psi_mem_full_us,dropped_caches,error,fetch_wait_ms_total,gc_ms_max_task,gc_ms_total,input,n_reduce_tasks,n_samples,n_tasks_total,peak_dirty_kb,peak_exec_mem_max,peak_writeback_kb,reduce_stage_id,remote_to_disk_total,run_dir,run_ms_total,shuffle_compress,spill_disk_max_task,spill_disk_total,spill_mem_total,sr_bytes_max,sr_bytes_median,sr_records_max,tag,task_ms_max,task_ms_p50,task_ms_p90,task_ms_p99,task_ms_sum,workload
s2_ec2_skew12_rb1024_c4_m1500m_p200_aqe0_lz4_rep0,12.0,1024,4,1500m,200,False,lz4,0,21.922,11.830474603506664,19.941176470588236,18664,498771,5847432,82109,5085595,0,True,,0,12,248,/data/spark-skew-data/skew12_rb1024_p200_g8,200,121,278,6068532,327155104,15092,2,0,/home/ubuntu/spark-skew/results/s2_ec2/s2_ec2_skew12_rb1024_c4_m1500m_p200_aqe0_lz4_rep0_be3305,19074,True,162741883,162741883,176160432,453909597,38367826.5,472979,s2_ec2,1695,85.0,105,372,19851,sort
s2_ec2_skew12_rb1024_c4_m1500m_p200_aqe0_lz4_rep1,12.0,1024,4,1500m,200,False,lz4,1,22.244,11.830474603506664,20.760233918128655,19474,487512,5854192,83928,4808207,0,True,,0,11,274,/data/spark-skew-data/skew12_rb1024_p200_g8,200,123,278,6004328,327155104,16384,2,0,/home/ubuntu/spark-skew/results/s2_ec2/s2_ec2_skew12_rb1024_c4_m1500m_p200_aqe0_lz4_rep1_569763,19962,True,162741883,162741883,176160432,453909597,38367826.5,472979,s2_ec2,1775,85.5,120,474,20677,sort
s2_ec2_skew12_rb1024_c4_m1500m_p200_aqe0_lz4_rep2,12.0,1024,4,1500m,200,False,lz4,2,21.922,11.830474603506664,21.01219512195122,18275,477227,3942496,77262,4829249,0,True,,0,9,81,/data/spark-skew-data/skew12_rb1024_p200_g8,200,123,278,6076028,327155104,14740,2,0,/home/ubuntu/spark-skew/results/s2_ec2/s2_ec2_skew12_rb1024_c4_m1500m_p200_aqe0_lz4_rep2_91a9bd,18523,True,162741883,162741883,176160432,453909597,38367826.5,472979,s2_ec2,1723,82.0,100,355,19216,sort
s2_ec2_skew12_rb1024_c4_m1500m_p200_aqe0_lz4_rep3,12.0,1024,4,1500m,200,False,lz4,3,21.929,11.830474603506664,20.702380952380953,18632,509342,5847444,81735,4800934,0,True,,0,12,236,/data/spark-skew-data/skew12_rb1024_p200_g8,200,121,278,6028496,327155104,16128,2,0,/home/ubuntu/spark-skew/results/s2_ec2/s2_ec2_skew12_rb1024_c4_m1500m_p200_aqe0_lz4_rep3_627adb,19072,True,162741883,162741883,176160432,453909597,38367826.5,472979,s2_ec2,1739,84.0,108,371,19802,sort
s2_ec2_skew12_rb1024_c4_m1500m_p200_aqe0_lz4_rep4,12.0,1024,4,1500m,200,False,lz4,4,21.978,11.830474603506664,21.51219512195122,18238,482924,5847428,87358,5071229,0,True,,0,17,116,/data/spark-skew-data/skew12_rb1024_p200_g8,200,121,278,5965732,327155104,16384,2,0,/home/ubuntu/spark-skew/results/s2_ec2/s2_ec2_skew12_rb1024_c4_m1500m_p200_aqe0_lz4_rep4_a19c2e,18512,True,162741883,162741883,176160432,453909597,38367826.5,472979,s2_ec2,1764,82.0,102,346,19194,sort
s2_ec2_skew12_rb256_c4_m1500m_p200_aqe0_lz4_rep0,12.0,256,4,1500m,200,False,lz4,0,32.78,11.728005922083499,17.4421768707483,48015,505751,5876040,89479,4984396,1,True,,0,12,235,/data/spark-skew-data/skew12_rb256_p200_g8,200,165,278,6103668,385875296,14848,2,0,/home/ubuntu/spark-skew/results/s2_ec2/s2_ec2_skew12_rb256_c4_m1500m_p200_aqe0_lz4_rep0_63aac5,48361,True,150306821,150306821,176160432,451559489,38502665.5,1951194,s2_ec2,3846,220.5,277,504,49106,sort
s2_ec2_skew12_rb256_c4_m1500m_p200_aqe0_lz4_rep1,12.0,256,4,1500m,200,False,lz4,1,31.825,11.728005922083499,17.5662100456621,47453,442349,5876080,85350,4774717,0,True,,0,9,82,/data/spark-skew-data/skew12_rb256_p200_g8,200,161,278,6086576,394263888,14996,2,0,/home/ubuntu/spark-skew/results/s2_ec2/s2_ec2_skew12_rb256_c4_m1500m_p200_aqe0_lz4_rep1_957e07,47636,True,143168649,143168649,167771840,451559489,38502665.5,1951194,s2_ec2,3847,219.0,265,494,48344,sort
s2_ec2_skew12_rb256_c4_m1500m_p200_aqe0_lz4_rep2,12.0,256,4,1500m,200,False,lz4,2,32.543,11.728005922083499,18.204444444444444,49425,454690,5871456,85684,4836833,0,True,,0,8,69,/data/spark-skew-data/skew12_rb256_p200_g8,200,163,278,6087956,394263888,15960,2,0,/home/ubuntu/spark-skew/results/s2_ec2/s2_ec2_skew12_rb256_c4_m1500m_p200_aqe0_lz4_rep2_1635be,49612,True,143168649,143168649,167771840,451559489,38502665.5,1951194,s2_ec2,4096,225.0,279,503,50302,sort
s2_ec2_skew12_rb256_c4_m1500m_p200_aqe0_lz4_rep3,12.0,256,4,1500m,200,False,lz4,3,32.192,11.728005922083499,17.90277777777778,47601,465656,5876052,90480,5039636,1,True,,0,15,132,/data/spark-skew-data/skew12_rb256_p200_g8,200,163,278,6092292,394263888,15872,2,0,/home/ubuntu/spark-skew/results/s2_ec2/s2_ec2_skew12_rb256_c4_m1500m_p200_aqe0_lz4_rep3_69eca0,47834,True,143168649,143168649,167771840,451559489,38502665.5,1951194,s2_ec2,3867,216.0,274,495,48530,sort
s2_ec2_skew12_rb256_c4_m1500m_p200_aqe0_lz4_rep4,12.0,256,4,1500m,200,False,lz4,4,32.385,11.728005922083499,17.753488372093024,47306,498722,5876860,77557,4972658,1,True,,0,8,178,/data/spark-skew-data/skew12_rb256_p200_g8,200,163,278,6134592,394263888,15244,2,0,/home/ubuntu/spark-skew/results/s2_ec2/s2_ec2_skew12_rb256_c4_m1500m_p200_aqe0_lz4_rep4_e8459b,47600,True,143168649,143168649,167771840,451559489,38502665.5,1951194,s2_ec2,3817,215.0,269,509,48331,sort
