run_id,skew,row_bytes,cores,exec_mem,partitions,aqe,codec,rep,wall_seconds,actual_size_skew,actual_time_skew,cpu_ms_total,delta_ctxt,delta_pgpgout_kb,delta_psi_cpu_some_us,delta_psi_io_full_us,delta_psi_mem_full_us,dropped_caches,error,fetch_wait_ms_total,gc_ms_max_task,gc_ms_total,input,n_reduce_tasks,n_samples,n_tasks_total,peak_dirty_kb,peak_exec_mem_max,peak_writeback_kb,reduce_stage_id,remote_to_disk_total,run_dir,run_ms_total,shuffle_compress,spill_disk_max_task,spill_disk_total,spill_mem_total,sr_bytes_max,sr_bytes_median,sr_records_max,tag,task_ms_max,task_ms_p50,task_ms_p90,task_ms_p99,task_ms_sum,workload
s1_skew32_rb256_c4_m1500m_p200_aqe0_lz4_rep1,32.0,256,4,1500m,200,False,lz4,1,63.139,31.412395192818945,51.19172932330827,67631,211524,7270336,518932,2689107,79268,True,,0,17,552,/root/spark-skew-data/skew32_rb256_p200_g8,200,268,282,1366840,746584816,442216,2,0,/mnt/d/my-side-project/side-project/spark/spark-skew/results/s1/s1_skew32_rb256_c4_m1500m_p200_aqe0_lz4_rep1_10247a,65090,True,727657163,727657163,855636384,1071454937,34109304.0,4633183,s1,13617,266.0,339,678,68059,sort
s1_skew32_rb256_c4_m1500m_p200_aqe0_lz4_rep2,32.0,256,4,1500m,200,False,lz4,2,60.583,31.412395192818945,59.747933884297524,67523,211866,7197228,168242,2120777,53738,True,,0,24,459,/root/spark-skew-data/skew32_rb256_p200_g8,200,254,282,1358064,746584816,476616,2,0,/mnt/d/my-side-project/side-project/spark/spark-skew/results/s1/s1_skew32_rb256_c4_m1500m_p200_aqe0_lz4_rep2_7006d3,63750,True,720515274,720515274,847247792,1071454937,34109304.0,4633183,s1,14459,242.0,325,1026,66784,sort
s1_skew32_rb256_c4_m1500m_p200_aqe0_lz4_rep3,32.0,256,4,1500m,200,False,lz4,3,66.218,31.412395192818945,56.223021582733814,74412,180685,7221568,312754,2227584,211462,True,,0,21,239,/root/spark-skew-data/skew32_rb256_p200_g8,200,282,282,1359576,746584816,394936,2,0,/mnt/d/my-side-project/side-project/spark/spark-skew/results/s1/s1_skew32_rb256_c4_m1500m_p200_aqe0_lz4_rep3_177ebc,71232,True,720515274,720515274,847247792,1071454937,34109304.0,4633183,s1,15630,278.0,379,737,74025,sort
s1_skew32_rb256_c4_m1500m_p200_aqe0_lz4_rep4,32.0,256,4,1500m,200,False,lz4,4,62.459,31.412395192818945,46.215384615384615,68429,206983,7269700,191024,2138688,88881,True,,0,20,596,/root/spark-skew-data/skew32_rb256_p200_g8,200,264,282,1445816,746584816,509276,2,0,/mnt/d/my-side-project/side-project/spark/spark-skew/results/s1/s1_skew32_rb256_c4_m1500m_p200_aqe0_lz4_rep4_dcad1b,66605,True,720515274,720515274,847247792,1071454937,34109304.0,4633183,s1,12016,260.0,356,2500,76125,sort
s1_skew4_rb256_c4_m1500m_p200_aqe0_lz4_rep0,4.0,256,4,1500m,200,False,lz4,0,48.861,3.8504949898688605,6.296819787985866,61949,174257,6830084,210230,1890906,182373,True,,0,16,204,/root/spark-skew-data/skew4_rb256_p200_g8,200,216,275,1367916,184549056,606564,2,0,/mnt/d/my-side-project/side-project/spark/spark-skew/results/s1/s1_skew4_rb256_c4_m1500m_p200_aqe0_lz4_rep0_117da1,59764,True,143173819,143173819,167771840,149397985,38799683.0,644069,s1,1782,283.0,361,1145,60736,sort
s1_skew4_rb256_c4_m1500m_p200_aqe0_lz4_rep1,4.0,256,4,1500m,200,False,lz4,1,48.354,3.8504949898688605,6.951492537313433,60004,187261,6828596,258026,2253861,117747,True,,1,14,147,/root/spark-skew-data/skew4_rb256_p200_g8,200,214,275,1366872,184549056,504844,2,0,/mnt/d/my-side-project/side-project/spark/spark-skew/results/s1/s1_skew4_rb256_c4_m1500m_p200_aqe0_lz4_rep1_654b3a,57302,True,143173819,143173819,167771840,149397985,38799683.0,644069,s1,1863,268.0,348,739,58309,sort
s1_skew4_rb256_c4_m1500m_p200_aqe0_lz4_rep2,4.0,256,4,1500m,200,False,lz4,2,49.049,3.8504949898688605,7.027124773960217,61217,195379,7323300,272076,1790795,132746,True,,0,20,383,/root/spark-skew-data/skew4_rb256_p200_g8,200,217,275,1421004,184549056,885812,2,0,/mnt/d/my-side-project/side-project/spark/spark-skew/results/s1/s1_skew4_rb256_c4_m1500m_p200_aqe0_lz4_rep2_960e08,58106,True,143173819,143173819,167771840,149397985,38799683.0,644069,s1,1943,276.5,356,752,59162,sort
s1_skew4_rb256_c4_m1500m_p200_aqe0_lz4_rep3,4.0,256,4,1500m,200,False,lz4,3,51.284,3.8504949898688605,6.937086092715232,68739,199501,6815512,365316,2146968,156383,True,,0,14,155,/root/spark-skew-data/skew4_rb256_p200_g8,200,228,275,1380248,184549056,504940,2,0,/mnt/d/my-side-project/side-project/spark/spark-skew/results/s1/s1_skew4_rb256_c4_m1500m_p200_aqe0_lz4_rep3_7d3ac2,65791,True,143173819,143173819,167771840,149397985,38799683.0,644069,s1,2095,302.0,385,1363,66841,sort
s1_skew4_rb256_c4_m1500m_p200_aqe0_lz4_rep4,4.0,256,4,1500m,200,False,lz4,4,58.488,3.8504949898688605,8.338983050847459,76700,192819,6922240,224838,1414115,174699,True,,0,23,312,/root/spark-skew-data/skew4_rb256_p200_g8,200,256,275,1399016,184549056,538688,2,0,/mnt/d/my-side-project/side-project/spark/spark-skew/results/s1/s1_skew4_rb256_c4_m1500m_p200_aqe0_lz4_rep4_9a1b59,73839,True,143173819,143173819,167771840,149397985,38799683.0,644069,s1,2706,324.5,484,1365,75022,sort
s1_skew64_rb256_c4_m1500m_p200_aqe0_lz4_rep0,64.0,256,4,1500m,200,False,lz4,0,66.908,62.976455301515216,112.48036951501155,68376,193024,7888072,363262,2599153,75139,True,,0,21,267,/root/spark-skew-data/skew64_rb256_p200_g8,200,279,290,1403120,746584816,471520,2,0,/mnt/d/my-side-project/side-project/spark/spark-skew/results/s1/s1_skew64_rb256_c4_m1500m_p200_aqe0_lz4_rep0_418dc1,65383,True,1297868445,1297868445,1526723744,1884852339,29929476.5,8152089,s1,24352,216.5,266,548,68139,sort
s1_skew64_rb256_c4_m1500m_p200_aqe0_lz4_rep1,64.0,256,4,1500m,200,False,lz4,1,67.908,62.976455301515216,114.13875598086125,67586,193206,7887636,189251,2361556,126905,True,,0,30,429,/root/spark-skew-data/skew64_rb256_p200_g8,200,282,290,1420488,746584816,367120,2,0,/mnt/d/my-side-project/side-project/spark/spark-skew/results/s1/s1_skew64_rb256_c4_m1500m_p200_aqe0_lz4_rep1_fe87fa,64408,True,1305006013,1305006013,1535112336,1884852339,29929476.5,8152089,s1,23855,209.0,273,563,67456,sort
s1_skew64_rb256_c4_m1500m_p200_aqe0_lz4_rep2,64.0,256,4,1500m,200,False,lz4,2,69.523,62.976455301515216,108.30802603036877,75752,194381,7898092,374607,2199052,78124,True,,1,25,309,/root/spark-skew-data/skew64_rb256_p200_g8,200,290,290,1398596,746584816,422616,2,0,/mnt/d/my-side-project/side-project/spark/spark-skew/results/s1/s1_skew64_rb256_c4_m1500m_p200_aqe0_lz4_rep2_3415d8,70907,True,1297868445,1297868445,1526723744,1884852339,29929476.5,8152089,s1,24965,230.5,322,687,74046,sort
s1_skew64_rb256_c4_m1500m_p200_aqe0_lz4_rep3,64.0,256,4,1500m,200,False,lz4,3,74.833,62.976455301515216,115.77156177156178,70304,202288,7889092,295530,3139701,66664,True,,0,22,326,/root/spark-skew-data/skew64_rb256_p200_g8,200,316,290,1467088,746584816,538784,2,0,/mnt/d/my-side-project/side-project/spark/spark-skew/results/s1/s1_skew64_rb256_c4_m1500m_p200_aqe0_lz4_rep3_ed8617,67714,True,1297868445,1297868445,1526723744,1884852339,29929476.5,8152089,s1,24833,214.5,281,2648,79825,sort
s1_skew64_rb256_c4_m1500m_p200_aqe0_lz4_rep4,64.0,256,4,1500m,200,False,lz4,4,70.635,62.976455301515216,99.29953917050692,69143,186090,8134216,540324,2733576,42876,True,,0,22,225,/root/spark-skew-data/skew64_rb256_p200_g8,200,297,290,1378112,746584816,374272,2,0,/mnt/d/my-side-project/side-project/spark/spark-skew/results/s1/s1_skew64_rb256_c4_m1500m_p200_aqe0_lz4_rep4_70aa34,66069,True,1297868445,1297868445,1526723744,1884852339,29929476.5,8152089,s1,21548,217.0,285,2292,75458,sort
s1_skew8_rb256_c4_m1500m_p200_aqe0_lz4_rep0,8.0,256,4,1500m,200,False,lz4,0,51.871,7.788393697592822,9.431438127090301,64227,193475,7023136,332231,2399606,150700,True,,0,19,426,/root/spark-skew-data/skew8_rb256_p200_g8,200,220,276,1374764,192937648,645716,2,0,/mnt/d/my-side-project/side-project/spark/spark-skew/results/s1/s1_skew8_rb256_c4_m1500m_p200_aqe0_lz4_rep0_3be3b0,61578,True,143167339,143167339,167771840,296380519,38054126.5,1279949,s1,2820,299.0,376,2213,70190,sort
s1_skew8_rb256_c4_m1500m_p200_aqe0_lz4_rep1,8.0,256,4,1500m,200,False,lz4,1,53.036,7.788393697592822,10.078014184397164,62794,201205,7479104,253917,2619804,116140,True,,0,16,369,/root/spark-skew-data/skew8_rb256_p200_g8,200,226,276,1393928,192937648,573632,2,0,/mnt/d/my-side-project/side-project/spark/spark-skew/results/s1/s1_skew8_rb256_c4_m1500m_p200_aqe0_lz4_rep1_12230f,60362,True,143167339,143167339,167771840,296380519,38054126.5,1279949,s1,2842,282.0,369,2177,68553,sort
s1_skew8_rb256_c4_m1500m_p200_aqe0_lz4_rep2,8.0,256,4,1500m,200,False,lz4,2,53.185,7.788393697592822,9.941580756013746,64113,180150,7012032,180161,2070675,175352,True,,0,23,240,/root/spark-skew-data/skew8_rb256_p200_g8,200,224,276,1360284,192937648,496604,2,0,/mnt/d/my-side-project/side-project/spark/spark-skew/results/s1/s1_skew8_rb256_c4_m1500m_p200_aqe0_lz4_rep2_0d4f59,61586,True,143167339,143167339,167771840,296380519,38054126.5,1279949,s1,2893,291.0,370,2316,70397,sort
s1_skew8_rb256_c4_m1500m_p200_aqe0_lz4_rep3,8.0,256,4,1500m,200,False,lz4,3,56.982,7.788393697592822,10.70499243570348,73731,186980,7857676,311394,1809464,104741,True,,0,15,329,/root/spark-skew-data/skew8_rb256_p200_g8,200,245,276,1366876,192937648,742952,2,0,/mnt/d/my-side-project/side-project/spark/spark-skew/results/s1/s1_skew8_rb256_c4_m1500m_p200_aqe0_lz4_rep3_2b68d2,70827,True,143167339,143167339,167771840,296380519,38054126.5,1279949,s1,3538,330.5,430,934,72016,sort
s1_skew8_rb256_c4_m1500m_p200_aqe0_lz4_rep4,8.0,256,4,1500m,200,False,lz4,4,50.31,7.788393697592822,10.043715846994536,61730,182090,7130204,352188,2139047,168720,True,,0,23,180,/root/spark-skew-data/skew8_rb256_p200_g8,200,227,276,1363972,192937648,449160,2,0,/mnt/d/my-side-project/side-project/spark/spark-skew/results/s1/s1_skew8_rb256_c4_m1500m_p200_aqe0_lz4_rep4_1e028c,59430,True,143167339,143167339,167771840,296380519,38054126.5,1279949,s1,2757,274.5,344,1049,60451,sort
