run_id,skew,row_bytes,cores,exec_mem,partitions,aqe,codec,rep,wall_seconds,actual_size_skew,actual_time_skew,aqe_read_coalesced,aqe_read_skewed,aqe_split_detected,aqe_updates,cpu_ms_total,delta_ctxt,delta_pgpgout_kb,delta_psi_cpu_some_us,delta_psi_io_full_us,delta_psi_mem_full_us,dirty_bg_threshold_pages,dirty_threshold_pages,dropped_caches,error,fetch_wait_ms_total,gc_ms_max_task,gc_ms_total,input,n_reduce_tasks,n_samples,n_tasks_total,peak_dirty_kb,peak_exec_mem_max,peak_nr_dirty_pages,peak_procs_blocked,peak_writeback_kb,peak_writeback_pages,record_skew,reduce_stage_id,remote_to_disk_total,run_dir,run_ms_total,shuffle_compress,skew_mode,smj_skew,spill_disk_max_task,spill_disk_total,spill_mem_total,sr_bytes_max,sr_bytes_median,sr_records_max,tag,task_ms_max,task_ms_p50,task_ms_p90,task_ms_p99,task_ms_sum,vm_dirty_background_ratio,vm_dirty_ratio,workload
s5_byt32_rb256_c4_m1500m_p200_aqe0_sort_rep0,32.0,256,4,1500m,200,False,lz4,0,40.603,31.410598593971255,58.43069306930693,False,False,False,0,52731,525584,8137924,89450,5119209,3,156008,315917,True,,0,17,197,/data/spark-skew-data/skew32_rb256_p200_g8,200,195,282,602368,746584816,150800,5,11264,3045,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt32_rb256_c4_m1500m_p200_aqe0_sort_rep0_df6b35,53023,True,byte,False,720538264,720538264,847247792,1105112180,35182780.0,4778687,s5,11803,202.0,255,498,53743,1,2,sort
s5_byt32_rb256_c4_m1500m_p200_aqe0_sort_rep0,32.0,256,4,1500m,200,False,lz4,0,41.114,31.410598593971255,57.88461538461539,False,False,False,0,54649,534232,6871792,94872,5130431,2,635762,1275425,True,,0,13,313,/data/spark-skew-data/skew32_rb256_p200_g8,200,199,282,2442496,746584816,610624,5,16384,4096,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt32_rb256_c4_m1500m_p200_aqe0_sort_rep0_ed95f4,55069,True,byte,False,720538264,720538264,847247792,1105112180,35182780.0,4778687,s5,12040,208.0,277,623,55861,4,8,sort
s5_byt32_rb256_c4_m1500m_p200_aqe0_sort_rep1,32.0,256,4,1500m,200,False,lz4,1,40.894,31.410598593971255,59.34299516908212,False,False,False,0,53725,522650,6673908,94580,4898312,1,635600,1275099,True,,0,12,178,/data/spark-skew-data/skew32_rb256_p200_g8,200,197,282,2426360,746584816,606590,4,16384,4096,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt32_rb256_c4_m1500m_p200_aqe0_sort_rep1_03eca3,54025,True,byte,False,720538264,720538264,847247792,1105112180,35182780.0,4778687,s5,12284,207.0,254,546,54783,4,8,sort
s5_byt32_rb256_c4_m1500m_p200_aqe0_sort_rep1,32.0,256,4,1500m,200,False,lz4,1,40.119,31.410598593971255,59.15892420537897,False,False,False,0,53503,471823,5776144,95867,4866508,2,1595506,3194913,True,,0,9,98,/data/spark-skew-data/skew32_rb256_p200_g8,200,195,282,6086348,746584816,1521584,3,16384,4096,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt32_rb256_c4_m1500m_p200_aqe0_sort_rep1_2b2215,53711,True,byte,False,720538264,720538264,847247792,1105112180,35182780.0,4778687,s5,12098,204.5,258,481,54453,10,20,sort
s5_byt32_rb256_c4_m1500m_p200_aqe0_sort_rep1,32.0,256,4,1500m,200,False,lz4,1,40.794,31.410598593971255,57.90731707317073,False,False,False,0,52874,577057,8287204,87456,5007127,1,155972,315844,True,,0,19,310,/data/spark-skew-data/skew32_rb256_p200_g8,200,197,282,604256,746584816,151064,5,12544,3136,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt32_rb256_c4_m1500m_p200_aqe0_sort_rep1_a42f10,53288,True,byte,False,720538264,720538264,847247792,1105112180,35182780.0,4778687,s5,11871,205.0,256,506,54074,1,2,sort
s5_byt32_rb256_c4_m1500m_p200_aqe0_sort_rep2,32.0,256,4,1500m,200,False,lz4,2,40.552,31.410598593971255,57.678048780487806,False,False,False,0,53221,537308,6674664,101491,5063278,1,635815,1275530,True,,0,14,300,/data/spark-skew-data/skew32_rb256_p200_g8,200,195,282,2427280,746584816,606820,4,13716,3429,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt32_rb256_c4_m1500m_p200_aqe0_sort_rep2_9990c0,53665,True,byte,False,720538264,720538264,847247792,1105112180,35182780.0,4778687,s5,11824,205.0,261,515,54435,4,8,sort
s5_byt32_rb256_c4_m1500m_p200_aqe0_sort_rep2,32.0,256,4,1500m,200,False,lz4,2,39.544,31.410598593971255,57.955882352941174,False,False,False,0,52973,454178,5776008,90817,4766148,0,1594776,3193451,True,,0,8,88,/data/spark-skew-data/skew32_rb256_p200_g8,200,191,282,6065208,746584816,1516302,3,16384,4096,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt32_rb256_c4_m1500m_p200_aqe0_sort_rep2_d04d16,53178,True,byte,False,720538264,720538264,847247792,1105112180,35182780.0,4778687,s5,11823,204.0,250,498,53889,10,20,sort
s5_byt32_rb256_c4_m1500m_p200_aqe0_sort_rep2,32.0,256,4,1500m,200,False,lz4,2,40.695,31.410598593971255,57.708641975308645,False,False,False,0,52845,559959,8298848,109494,5075133,3,155988,315877,True,,0,8,101,/data/spark-skew-data/skew32_rb256_p200_g8,200,197,282,591528,746584816,147882,4,12544,3429,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt32_rb256_c4_m1500m_p200_aqe0_sort_rep2_dccbbb,53051,True,byte,False,720538264,720538264,847247792,1105112180,35182780.0,4778687,s5,11686,202.5,255,487,53766,1,2,sort
s5_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0,64.0,256,4,1500m,200,False,lz4,0,51.307,62.932157005834405,137.8356940509915,False,False,False,0,59950,608182,9656324,99554,4750289,0,156032,315966,True,,0,25,279,/data/spark-skew-data/skew64_rb256_p200_g8,200,239,290,603768,746584816,150942,4,15616,3904,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0_b67e21,60323,True,byte,False,1875258857,1875258857,2206199696,1944047992,30891170.5,8408141,s5,24328,176.5,223,457,61065,1,2,sort
s5_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0,64.0,256,4,1500m,200,False,lz4,0,51.369,62.932157005834405,136.731843575419,False,False,False,0,60496,548010,8830460,106132,5291059,0,635375,1274648,True,,0,12,279,/data/spark-skew-data/skew64_rb256_p200_g8,200,239,290,2445052,746584816,611263,4,15052,4066,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0_eaa5a3,60866,True,byte,False,1875258857,1875258857,2206199696,1944047992,30891170.5,8408141,s5,24475,179.0,224,473,61625,4,8,sort
s5_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0,64.0,256,4,1500m,200,False,lz4,0,49.913,62.932157005834405,133.01704545454547,False,False,False,0,59173,477383,7912552,84283,5556686,0,1594499,3192898,True,,0,18,203,/data/spark-skew-data/skew64_rb256_p200_g8,200,233,290,6210548,746584816,1552740,3,16700,4175,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0_f1288d,59491,True,byte,False,1875258857,1875258857,2206199696,1944047992,30891170.5,8408141,s5,23411,176.0,219,493,60201,10,20,sort
s5_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1,64.0,256,4,1500m,200,False,lz4,1,51.344,62.932157005834405,137.5887323943662,False,False,False,0,60043,610122,9823264,96085,4628688,1,155888,315674,True,,0,27,354,/data/spark-skew-data/skew64_rb256_p200_g8,200,239,290,598900,746584816,149725,3,14244,3561,1.0,2,0,/home/ubuntu/spark-skew/results/s5/s5_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1_15b2cf,60483,True,byte,False,1875258857,1875258857,2206199696,1944047992,30891170.5,8408141,s5,24422,177.5,219,493,61265,1,2,sort
