run_id,skew,row_bytes,cores,exec_mem,partitions,aqe,codec,rep,wall_seconds,actual_size_skew,actual_time_skew,agg_fallback_all,agg_fallback_hot,agg_fallback_reduce,agg_fallback_reduce_total,agg_op,aqe_read_coalesced,aqe_read_skewed,aqe_split_detected,aqe_updates,avg_write_mbps,cgroup_write_mbps,cgroup_written_bytes,cpu_ms_total,delta_ctxt,delta_pgpgout_kb,delta_psi_cpu_some_us,delta_psi_io_full_us,delta_psi_mem_full_us,dim_keys,dim_mb_est,dim_row_bytes,dirty_bg_threshold_pages,dirty_threshold_pages,dropped_caches,error,extra_conf,fetch_wait_ms_total,gc_ms_max_task,gc_ms_total,has_peak_mem_metric,input,io_cap_applied,io_cap_mbps,label,n_reduce_tasks,n_samples,n_tasks_total,peak_dirty_kb,peak_exec_mem_max,peak_nr_dirty_pages,peak_procs_blocked,peak_writeback_kb,peak_writeback_pages,record_skew,reduce_stage_id,remote_to_disk_total,run_dir,run_ms_total,salt,shuffle_compress,skew_mode,smj_skew,spill_disk_all_stages,spill_disk_max_task,spill_disk_total,spill_mem_total,sr_bytes_max,sr_bytes_median,sr_records_max,sw_bytes_all_stages,tag,task_ms_max,task_ms_p50,task_ms_p90,task_ms_p99,task_ms_sum,total_written_bytes,vm_dirty_background_ratio,vm_dirty_ratio,workload
s11b_byt20_rb256_c4_m1500m_p200_aqe1_join_aqe_256m_rep1,20.0,256,4,1500m,200,True,lz4,1,7.513,1.491452531232388,2.3058823529411763,,,,,,True,False,False,4,,,,4731,255208,100,42181,2955211,0,10001,0.3,32,1585183,3174243,True,,,0,12,128,True,/data/spark-skew-data/skew20_rb256_p200_g1,,0,aqe_256m,17,61,43,985692,134283040,246423,1,0,0,1.0,5,0,/home/ubuntu/spark-skew/results/s11b/s11b_byt20_rb256_c4_m1500m_p200_aqe1_join_aqe_256m_rep1_71b772,5066,0,True,byte,False,0,0,0,0,90241976,60506100,390147,1006872326,s11b,588,255,571,588,5219,1006872326,10,20,join
s11b_byt20_rb256_c4_m1500m_p200_aqe1_join_aqe_256m_rep2,20.0,256,4,1500m,200,True,lz4,2,7.841,1.491452531232388,2.824786324786325,,,,,,True,False,False,4,,,,4688,272520,100,44008,3098578,0,10001,0.3,32,1588509,3180903,True,,,0,24,162,True,/data/spark-skew-data/skew20_rb256_p200_g1,,0,aqe_256m,17,63,43,985508,134283040,246377,2,0,0,1.0,5,0,/home/ubuntu/spark-skew/results/s11b/s11b_byt20_rb256_c4_m1500m_p200_aqe1_join_aqe_256m_rep2_c89c5a,5108,0,True,byte,False,0,0,0,0,90241976,60506100,390147,1006872326,s11b,661,234,611,661,5279,1006872326,10,20,join
s11b_byt20_rb256_c4_m1500m_p200_aqe1_join_aqe_32m_rep0,20.0,256,4,1500m,200,True,lz4,0,7.632,1.0490076334514582,2.48659793814433,,,,,,False,True,True,4,,,,4806,296092,100,49684,2920941,1,10001,0.3,32,1590309,3184507,True,,spark.sql.adaptive.skewJoin.skewedPartitionThresholdInBytes=33554432,0,18,150,True,/data/spark-skew-data/skew20_rb256_p200_g1,,0,aqe_32m,18,63,44,985508,100728672,246377,2,0,0,1.0,5,0,/home/ubuntu/spark-skew/results/s11b/s11b_byt20_rb256_c4_m1500m_p200_aqe1_join_aqe_32m_rep0_f936a3,5186,0,True,byte,True,0,0,0,0,63437503,60473824.0,270979,1006872326,s11b,603,242.5,578,603,5364,1006872326,10,20,join
s11b_byt20_rb256_c4_m1500m_p200_aqe1_join_aqe_32m_rep1,20.0,256,4,1500m,200,True,lz4,1,7.748,1.0490076334514582,2.490405117270789,,,,,,False,True,True,4,,,,4705,274261,100,48024,3058110,0,10001,0.3,32,1585627,3175132,True,,spark.sql.adaptive.skewJoin.skewedPartitionThresholdInBytes=33554432,0,16,144,True,/data/spark-skew-data/skew20_rb256_p200_g1,,0,aqe_32m,18,63,44,985716,100728672,246429,1,0,0,1.0,5,0,/home/ubuntu/spark-skew/results/s11b/s11b_byt20_rb256_c4_m1500m_p200_aqe1_join_aqe_32m_rep1_924a85,5055,0,True,byte,True,0,0,0,0,63437503,60473824.0,270979,1006872326,s11b,584,234.5,577,584,5210,1006872326,10,20,join
s11b_byt20_rb256_c4_m1500m_p200_aqe1_join_aqe_32m_rep2,20.0,256,4,1500m,200,True,lz4,2,7.573,1.0490076334514582,2.3176470588235296,,,,,,False,True,True,4,,,,4758,284114,1648,51251,3105709,0,10001,0.3,32,1592455,3188805,True,,spark.sql.adaptive.skewJoin.skewedPartitionThresholdInBytes=33554432,0,18,150,True,/data/spark-skew-data/skew20_rb256_p200_g1,,0,aqe_32m,18,61,44,984284,100728672,246071,2,0,0,1.0,5,0,/home/ubuntu/spark-skew/results/s11b/s11b_byt20_rb256_c4_m1500m_p200_aqe1_join_aqe_32m_rep2_f76cf2,5143,0,True,byte,True,0,0,0,0,63437503,60473824.0,270979,1006872326,s11b,591,255.0,582,591,5311,1006872326,10,20,join
s11b_byt32_rb256_c4_m1500m_p2000_aqe0_join_p2000_rep0,32.0,256,4,1500m,2000,False,lz4,0,17.82,308.18646139838586,185.0,,,,,,False,False,False,0,,,,16922,424940,616,88512,3409880,0,10001,0.3,32,1594501,3192902,True,,,0,19,812,True,/data/spark-skew-data/skew32_rb256_p200_g4,,0,p2000,2000,103,2049,4101756,545324144,1025439,3,0,0,1.0,3,0,/home/ubuntu/spark-skew/results/s11b/s11b_byt32_rb256_c4_m1500m_p2000_aqe0_join_p2000_rep0_50d272,16937,0,True,byte,False,137600447,137600447,137600447,159383248,536834774,1741915.5,2322317,4039660854,s11b,1850,10.0,16,29,23606,4177261301,10,20,join
s11b_byt32_rb256_c4_m1500m_p2000_aqe0_join_p2000_rep1,32.0,256,4,1500m,2000,False,lz4,1,17.868,308.18646139838586,192.7,,,,,,False,False,False,0,,,,16992,449406,2053932,84474,3510845,0,10001,0.3,32,1592652,3189198,True,,,0,75,861,True,/data/spark-skew-data/skew32_rb256_p200_g4,,0,p2000,2000,103,2049,3646280,545324144,911570,2,14056,3514,1.0,3,0,/home/ubuntu/spark-skew/results/s11b/s11b_byt32_rb256_c4_m1500m_p2000_aqe0_join_p2000_rep1_f8710d,17093,0,True,byte,False,137600447,137600447,137600447,159383248,536834774,1741915.5,2322317,4039660854,s11b,1927,10.0,16,26,23875,4177261301,10,20,join
s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_isolate_isolate_rep0,32.0,256,4,1500m,200,False,lz4,0,14.844,1.495411241319058,5.734375,,,,,,False,False,False,0,,,,14908,386401,1164,58711,3166409,0,10001,0.3,32,1587109,3178098,True,,,0,14,485,True,/data/spark-skew-data/skew32_rb256_p200_g4,,0,isolate,244,91,297,3432816,46202800,858204,2,0,0,1.0,4,0,/home/ubuntu/spark-skew/results/s11b/s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_isolate_isolate_rep0_425a84,15900,0,True,byte,False,0,0,0,0,25192275,16846386.0,107330,3510330040,s11b,367,64.0,90,352,17048,3510330040,10,20,join_isolate
s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_isolate_isolate_rep1,32.0,256,4,1500m,200,False,lz4,1,14.828,1.495411241319058,5.306451612903226,,,,,,False,False,False,0,,,,14633,418444,2058124,64675,3552887,1,10001,0.3,32,1586307,3176494,True,,,0,12,346,True,/data/spark-skew-data/skew32_rb256_p200_g4,,0,isolate,244,93,297,3123596,46202800,780899,2,13504,3376,1.0,4,0,/home/ubuntu/spark-skew/results/s11b/s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_isolate_isolate_rep1_aa09be,15639,0,True,byte,False,0,0,0,0,25192275,16846386.0,107330,3510330040,s11b,329,62.0,90,317,16738,3510330040,10,20,join_isolate
s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_isolate_isolate_rep2,32.0,256,4,1500m,200,False,lz4,2,14.937,1.495411241319058,6.2204724409448815,,,,,,False,False,False,0,,,,15143,421804,1955604,62657,3475028,0,10001,0.3,32,1582170,3168208,True,,,0,13,491,True,/data/spark-skew-data/skew32_rb256_p200_g4,,0,isolate,244,91,297,3126404,46202800,781601,2,14848,3712,1.0,4,0,/home/ubuntu/spark-skew/results/s11b/s11b_byt32_rb256_c4_m1500m_p200_aqe0_join_isolate_isolate_rep2_401409,16289,0,True,byte,False,0,0,0,0,25192275,16846386.0,107330,3510330040,s11b,395,63.5,93,389,17431,3510330040,10,20,join_isolate
