run_id,skew,row_bytes,cores,exec_mem,partitions,aqe,codec,rep,wall_seconds,actual_size_skew,actual_time_skew,aqe_read_coalesced,aqe_read_skewed,aqe_split_detected,aqe_updates,avg_write_mbps,cgroup_write_mbps,cgroup_written_bytes,cpu_ms_total,delta_ctxt,delta_pgpgout_kb,delta_psi_cpu_some_us,delta_psi_io_full_us,delta_psi_mem_full_us,dirty_bg_threshold_pages,dirty_threshold_pages,dropped_caches,error,fetch_wait_ms_total,gc_ms_max_task,gc_ms_total,input,io_cap_applied,io_cap_mbps,n_reduce_tasks,n_samples,n_tasks_total,peak_dirty_kb,peak_exec_mem_max,peak_nr_dirty_pages,peak_procs_blocked,peak_writeback_kb,peak_writeback_pages,record_skew,reduce_stage_id,remote_to_disk_total,run_dir,run_ms_total,shuffle_compress,skew_mode,smj_skew,spill_disk_all_stages,spill_disk_max_task,spill_disk_total,spill_mem_total,sr_bytes_max,sr_bytes_median,sr_records_max,sw_bytes_all_stages,tag,task_ms_max,task_ms_p50,task_ms_p90,task_ms_p99,task_ms_sum,total_written_bytes,vm_dirty_background_ratio,vm_dirty_ratio,workload
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0,64.0,256,4,1500m,200,False,lz4,0,76.786,62.92855795342119,258.6508875739645,False,False,False,0,113.1,112.9,9088569344,57728,452100,8889632,217837,30183156,1,1595097,3194095,True,,0,25,279,/data/spark-skew-data/skew64_rb256_p200_g8,True,200,200,341,290,6190524,746584816,1547631,5,4519916,1129979,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0_e0acec,78318,True,byte,False,1875254087,1875254087,1875254087,2206199696,1944042124,30892844.0,8408141,8094515914,s6v3,43712,169.0,212,456,79029,9969770001,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0,64.0,256,4,1500m,200,False,zstd,0,63.568,61.36718477246401,137.3413897280967,False,False,False,0,66.5,66.3,4417236992,56162,426625,4330392,212048,55305457,0,1595603,3195108,True,,0,10,92,/data/spark-skew-data/skew64_rb256_p200_g8,True,50,200,433,290,3018352,746584816,754588,3,2262388,565597,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0_f4abef,56347,True,byte,False,1004532778,1004532778,1004532778,2214588288,1039442193,16938078.5,8408141,4403464723,s6v3,22730,165.5,204,482,57050,5407997501,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1,64.0,256,4,1500m,200,False,lz4,1,66.584,62.92855795342119,217.24561403508773,False,False,False,0,119.4,119.3,8325955584,57133,490584,8143168,253377,21102595,0,1594858,3193615,True,,0,19,328,/data/spark-skew-data/skew64_rb256_p200_g8,True,200,200,299,290,6182772,746584816,1545693,5,4869568,1217392,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1_291a48,71884,True,byte,False,1875254087,1875254087,1875254087,2206199696,1944042124,30892844.0,8408141,8094515914,s6v3,37149,171.0,215,461,72625,9969770001,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1,64.0,256,4,1500m,200,False,lz4,1,39.6,63.891163441007286,111.98181818181818,False,False,False,0,220.8,220.6,9158148096,52144,465864,8951580,319079,17431927,1,1594655,3193210,True,,0,18,180,/data/spark-skew-data/skew64_rb256_p200_g8,True,200,200,247,290,6106772,746584816,1526693,4,5312656,1328164,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1_50fa95,52442,False,byte,False,2272004416,2272004416,2272004416,2206199696,2253381788,35269068.0,8408141,9275038604,s6v3,18477,165.0,207,476,53169,11547043020,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1,64.0,256,4,1500m,200,False,lz4,1,48.583,62.92855795342119,133.40828402366864,False,False,False,0,,,,56632,499980,7596804,92057,6705226,0,1595213,3194328,True,,0,12,239,/data/spark-skew-data/skew64_rb256_p200_g8,,0,200,227,290,6156376,746584816,1539094,4,16384,4096,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1_69058e,56959,True,byte,False,1875254087,1875254087,1875254087,2206199696,1944042124,30892844.0,8408141,8094515914,s6v3,22546,169.0,210,466,57675,9969770001,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1,64.0,256,4,1500m,200,False,zstd,1,55.331,61.36718477246401,139.86544342507645,False,False,False,0,77.4,77.2,4477214720,56327,416466,4384364,137372,18573476,1,1595057,3194015,True,,0,10,90,/data/spark-skew-data/skew64_rb256_p200_g8,True,200,200,287,290,3596160,746584816,899040,5,1865064,466266,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1_75b1f2,56507,True,byte,False,1000728282,1000728282,1000728282,2206199696,1039442193,16938078.5,8408141,4403464723,s6v3,22868,163.5,202,525,57208,5404193005,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1,64.0,256,4,1500m,200,False,lz4,1,218.105,63.891163441007286,110.09150326797386,False,False,False,0,41.6,41.5,9490436096,47797,465983,9299876,149577,184236859,431,1595076,3194053,True,,0,16,252,/data/spark-skew-data/skew64_rb256_p200_g8,True,50,200,905,290,4567936,746584816,1141678,4,7011988,1752997,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1_79da97,48119,False,byte,False,2272004416,2272004416,2272004416,2206199696,2253381788,35269068.0,8408141,9275038604,s6v3,16844,153.0,194,465,48836,11547043020,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1,64.0,256,4,1500m,200,False,zstd,1,48.947,61.36718477246401,140.90853658536585,False,False,False,0,,,,56574,422605,4096664,72809,4543533,0,1594378,3192654,True,,0,27,110,/data/spark-skew-data/skew64_rb256_p200_g8,,0,200,229,290,4007464,746584816,1001866,3,16752,4188,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1_b98697,56784,True,byte,False,1000728282,1000728282,1000728282,2206199696,1039442193,16938078.5,8408141,4403464723,s6v3,23109,164.0,205,472,57459,5404193005,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1,64.0,256,4,1500m,200,False,lz4,1,237.111,62.92855795342119,950.5714285714286,False,False,False,0,41.4,41.2,10249183232,56522,498928,10042644,165523,191380961,2,1595015,3193931,True,,0,7,160,/data/spark-skew-data/skew64_rb256_p200_g8,True,50,200,981,290,6135676,746584816,1533919,5,5413852,1353463,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1_bfed56,193864,True,byte,False,1875254087,1875254087,1875254087,2206199696,1944042124,30892844.0,8408141,8094515914,s6v3,159696,168.0,206,494,194588,9969770001,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1,64.0,256,4,1500m,200,False,lz4,1,69.001,62.92855795342119,247.80701754385964,False,False,False,0,113.0,112.8,8162308096,56811,469310,7984492,280320,46995012,1,1594549,3192996,True,,0,12,290,/data/spark-skew-data/skew64_rb256_p200_g8,True,100,200,403,290,6159912,746584816,1539978,4,4483360,1120840,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1_d15fd4,77034,True,byte,False,1875254087,1875254087,1875254087,2206199696,1944042124,30892844.0,8408141,8094515914,s6v3,42375,171.0,212,482,77773,9969770001,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1,64.0,256,4,1500m,200,False,lz4,1,37.155,63.891163441007286,111.11475409836065,False,False,False,0,238.5,238.1,9278132224,47952,455176,9073440,242082,66308213,0,1594888,3193676,True,,0,17,193,/data/spark-skew-data/skew64_rb256_p200_g8,False,100,200,435,290,5990384,746584816,1497020,4,5433560,1358390,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1_d4e555,48227,False,byte,False,2280643216,2280643216,2280643216,2214588288,2253381788,35269068.0,8408141,9275038604,s6v3,16945,152.5,199,450,48945,11555681820,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1,64.0,256,4,1500m,200,False,zstd,1,58.229,61.36718477246401,137.13333333333333,False,False,False,0,73.6,73.0,4454273024,56003,435004,4389868,198224,29395930,0,1595659,3195219,True,,0,8,108,/data/spark-skew-data/skew64_rb256_p200_g8,True,100,200,333,290,3247596,746584816,811899,5,1561504,390376,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1_dfc36b,56203,True,byte,False,1000728282,1000728282,1000728282,2206199696,1039442193,16938078.5,8408141,4403464723,s6v3,22627,165.0,207,473,56901,5404193005,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1,64.0,256,4,1500m,200,False,zstd,1,143.639,61.36718477246401,553.030303030303,False,False,False,0,36.7,36.6,5512724480,55923,422805,5403872,138193,98530455,1,1594804,3193508,True,,0,8,76,/data/spark-skew-data/skew64_rb256_p200_g8,True,50,200,607,290,3310800,746584816,827700,5,2828772,707193,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1_e49d0c,124849,True,byte,False,1000728282,1000728282,1000728282,2206199696,1039442193,16938078.5,8408141,4403464723,s6v3,91250,165.0,204,462,125539,5404193005,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1,64.0,256,4,1500m,200,False,lz4,1,37.02,63.891163441007286,109.6038961038961,False,False,False,0,,,,48145,475325,5896184,95915,5269449,0,1594499,3192897,True,,0,14,118,/data/spark-skew-data/skew64_rb256_p200_g8,,0,200,181,290,6818980,746584816,1703977,4,15496,3874,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1_e71d1c,48337,False,byte,False,2272004416,2272004416,2272004416,2206199696,2253381788,35269068.0,8408141,9275038604,s6v3,16879,154.0,198,457,49029,11547043020,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2,64.0,256,4,1500m,200,False,lz4,2,37.042,63.891163441007286,108.625,False,False,False,0,,,,47333,494015,5898248,91929,5554196,1,1594371,3192641,True,,0,20,175,/data/spark-skew-data/skew64_rb256_p200_g8,,0,200,181,290,6503448,746584816,1625964,4,13100,3263,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2_08d815,47587,False,byte,False,2272004416,2272004416,2272004416,2206199696,2253381788,35269068.0,8408141,9275038604,s6v3,16511,152.0,189,465,48304,11547043020,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2,64.0,256,4,1500m,200,False,lz4,2,217.488,63.891163441007286,107.85526315789474,False,False,False,0,41.3,41.1,9382789120,47230,475771,9193104,104293,183191761,0,1595211,3194324,True,,0,24,246,/data/spark-skew-data/skew64_rb256_p200_g8,True,50,200,903,290,4738656,746584816,1184664,4,7269072,1817268,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2_27c677,47555,False,byte,False,2272004416,2272004416,2272004416,2206199696,2253381788,35269068.0,8408141,9275038604,s6v3,16394,152.0,192,464,48278,11547043020,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2,64.0,256,4,1500m,200,False,lz4,2,126.256,62.92855795342119,494.6220930232558,False,False,False,0,76.6,76.4,10120531968,57721,486767,9903996,206630,79385199,1,1594226,3192351,True,,0,19,318,/data/spark-skew-data/skew64_rb256_p200_g8,True,100,200,537,290,6192076,746584816,1548019,4,4445520,1111380,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2_5a0bf5,119824,True,byte,False,1875254087,1875254087,1875254087,2206199696,1944042124,30892844.0,8408141,8094515914,s6v3,85075,172.0,208,450,120564,9969770001,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2,64.0,256,4,1500m,200,False,lz4,2,48.251,62.92855795342119,130.733137829912,False,False,False,0,,,,56418,504838,8386812,102254,8500514,2,1594496,3192891,True,,0,10,135,/data/spark-skew-data/skew64_rb256_p200_g8,,0,200,227,290,6181756,746584816,1545439,4,18620,4655,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2_5af0db,56641,True,byte,False,1875254087,1875254087,1875254087,2206199696,1944042124,30892844.0,8408141,8094515914,s6v3,22290,170.5,210,443,57355,9969770001,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2,64.0,256,4,1500m,200,False,zstd,2,49.83,61.36718477246401,141.1939393939394,False,False,False,0,84.5,84.4,4407353344,56683,426838,4313960,160492,12704218,1,1594132,3192162,True,,0,14,122,/data/spark-skew-data/skew64_rb256_p200_g8,True,200,200,265,290,3594732,746584816,898683,4,1883696,470924,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2_81552c,56886,True,byte,False,1000728282,1000728282,1000728282,2206199696,1039442193,16938078.5,8408141,4403464723,s6v3,23297,165.0,210,462,57583,5404193005,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2,64.0,256,4,1500m,200,False,lz4,2,57.744,63.891163441007286,108.56393442622951,False,False,False,0,155.8,155.6,9420599296,47303,456588,9213468,261717,67955758,0,1593939,3191776,True,,0,12,237,/data/spark-skew-data/skew64_rb256_p200_g8,False,100,200,441,290,5381624,746584816,1345406,4,5067848,1266962,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2_83048f,47628,False,byte,False,2272004416,2272004416,2272004416,2206199696,2253381788,35269068.0,8408141,9275038604,s6v3,16556,152.5,191,447,48365,11547043020,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2,64.0,256,4,1500m,200,False,zstd,2,148.577,61.36718477246401,590.6869300911854,False,False,False,0,35.4,35.2,5490438144,56446,421144,5383200,99979,103124067,0,1595454,3194810,True,,0,19,123,/data/spark-skew-data/skew64_rb256_p200_g8,True,50,200,625,290,3597056,746584816,899264,5,3078716,769679,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2_8a736b,130722,True,byte,False,1000728282,1000728282,1000728282,2206199696,1039442193,16938078.5,8408141,4403464723,s6v3,97168,164.5,206,450,131408,5404193005,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2,64.0,256,4,1500m,200,False,lz4,2,36.921,63.891163441007286,111.54605263157895,False,False,False,0,237.9,237.7,9201033216,47843,450609,8993540,280108,19912034,0,1594014,3191926,True,,0,12,233,/data/spark-skew-data/skew64_rb256_p200_g8,True,200,200,247,290,6080032,746584816,1520110,4,5860360,1465090,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2_8ad9ec,48171,False,byte,False,2272004416,2272004416,2272004416,2206199696,2253381788,35269068.0,8408141,9275038604,s6v3,16955,152.0,193,475,48895,11547043020,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2,64.0,256,4,1500m,200,False,lz4,2,236.79,62.92855795342119,938.6647058823529,False,False,False,0,41.4,41.3,10247020544,57287,514891,10044416,146674,190424226,1,1594671,3193241,True,,0,26,313,/data/spark-skew-data/skew64_rb256_p200_g8,True,50,200,979,290,6164740,746584816,1541185,5,5402524,1350631,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2_bd4926,194215,True,byte,False,1875254087,1875254087,1875254087,2206199696,1944042124,30892844.0,8408141,8094515914,s6v3,159573,170.0,216,508,194969,9969770001,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2,64.0,256,4,1500m,200,False,zstd,2,61.872,61.36718477246401,139.5090909090909,False,False,False,0,70.7,70.5,4573839360,56049,417798,4479912,148213,38523811,0,1594652,3193203,True,,0,19,123,/data/spark-skew-data/skew64_rb256_p200_g8,True,100,200,367,290,3597492,746584816,899373,5,1910724,477681,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2_c38865,56260,True,byte,False,1000728282,1000728282,1000728282,2206199696,1039442193,16938078.5,8408141,4403464723,s6v3,23019,165.0,199,474,56955,5404193005,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2,64.0,256,4,1500m,200,False,lz4,2,77.605,62.92855795342119,251.92592592592592,False,False,False,0,111.7,111.6,9079169024,59353,476534,8878096,207213,30321242,1,1593802,3191501,True,,0,24,306,/data/spark-skew-data/skew64_rb256_p200_g8,True,200,200,343,290,6185272,746584816,1546318,5,4523416,1130854,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2_f297aa,79735,True,byte,False,1875254087,1875254087,1875254087,2206199696,1944042124,30892844.0,8408141,8094515914,s6v3,44213,175.5,217,474,80449,9969770001,10,20,sort
s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2,64.0,256,4,1500m,200,False,zstd,2,48.372,61.36718477246401,137.1030303030303,False,False,False,0,,,,56117,395014,4389268,76530,6816587,0,1594374,3192647,True,,0,8,94,/data/spark-skew-data/skew64_rb256_p200_g8,,0,200,225,290,4382892,746584816,1095825,2,16696,4174,1.0,2,0,/home/ubuntu/spark-skew/results/s6v3/s6v3_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep2_fd85cf,56286,True,byte,False,1004532778,1004532778,1004532778,2214588288,1039442193,16938078.5,8408141,4403464723,s6v3,22622,165.0,206,484,56968,5407997501,10,20,sort
