run_id,skew,row_bytes,cores,exec_mem,partitions,aqe,codec,rep,wall_seconds,actual_size_skew,actual_time_skew,aqe_read_coalesced,aqe_read_skewed,aqe_split_detected,aqe_updates,cpu_ms_total,delta_ctxt,delta_pgpgout_kb,delta_psi_cpu_some_us,delta_psi_io_full_us,delta_psi_mem_full_us,dirty_bg_threshold_pages,dirty_threshold_pages,dropped_caches,error,fetch_wait_ms_total,gc_ms_max_task,gc_ms_total,input,io_cap_mbps,n_reduce_tasks,n_samples,n_tasks_total,peak_dirty_kb,peak_exec_mem_max,peak_nr_dirty_pages,peak_procs_blocked,peak_writeback_kb,peak_writeback_pages,record_skew,reduce_stage_id,remote_to_disk_total,run_dir,run_ms_total,shuffle_compress,skew_mode,smj_skew,spill_disk_max_task,spill_disk_total,spill_mem_total,sr_bytes_max,sr_bytes_median,sr_records_max,tag,task_ms_max,task_ms_p50,task_ms_p90,task_ms_p99,task_ms_sum,vm_dirty_background_ratio,vm_dirty_ratio,workload
s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep1,16.0,256,4,1500m,200,False,lz4,1,30.17,15.889055518814175,24.60633484162896,False,False,False,0,51231,505618,6071768,97917,4937236,2,1593851,3191600,True,,0,8,175,/data/spark-skew-data/skew16_rb256_p200_g8,0,200,157,279,6380236,587201568,1595059,4,16384,4096,1.0,2,0,/home/ubuntu/spark-skew/results/s6/s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep1_ebe7b3,51528,False,byte,False,172776004,172776004,167771840,685732136,43157514.0,2558702,s6,5438,221.0,286,673,52340,10,20,sort
s6_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0,64.0,256,4,1500m,200,False,lz4,0,55.446,62.932157005834405,134.26799007444168,False,False,False,0,67259,560075,7912736,108045,5436953,0,1593687,3191271,True,,0,18,283,/data/spark-skew-data/skew64_rb256_p200_g8,0,200,257,290,6210712,746584816,1552779,2,16384,4096,1.0,2,0,/home/ubuntu/spark-skew/results/s6/s6_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0_1816ba,67660,True,byte,False,1882393237,1882393237,2214588288,1944047992,30891170.5,8408141,s6,27055,201.5,245,530,68490,10,20,sort
s6_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0,64.0,256,4,1500m,200,False,zstd,0,55.334,61.367814346903806,139.87596899224806,False,False,False,0,66095,433129,4308616,100662,6571715,0,1594329,3192556,True,,0,19,127,/data/spark-skew-data/skew64_rb256_p200_g8,0,200,257,290,4307328,746584816,1076944,4,16384,4096,1.0,2,0,/home/ubuntu/spark-skew/results/s6/s6_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0_2ff2e9,66329,True,byte,False,1000740712,1000740712,2206199696,1039441381,16937891.5,8408141,s6,27066,193.5,238,504,67089,10,20,sort
s6_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0,64.0,256,4,1500m,200,False,lz4,0,235.229,62.932157005834405,820.4141414141415,False,False,False,0,66250,485145,10027680,206950,183441912,2,1594686,3193271,True,,0,17,181,/data/spark-skew-data/skew64_rb256_p200_g8,50,200,976,290,6229480,746584816,1557370,4,5304232,1326058,1.0,2,0,/home/ubuntu/spark-skew/results/s6/s6_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0_4145e3,202592,True,byte,False,1875258857,1875258857,2206199696,1944047992,30891170.5,8408141,s6,162442,198.0,243,522,203369,10,20,sort
s6_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0,64.0,256,4,1500m,200,False,zstd,0,74.103,61.367814346903806,140.3514211886305,False,False,False,0,67170,412467,4455740,151973,74159658,0,1594194,3192287,True,,0,9,87,/data/spark-skew-data/skew64_rb256_p200_g8,50,200,539,290,3688664,746584816,922166,4,2800936,700234,1.0,2,0,/home/ubuntu/spark-skew/results/s6/s6_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0_83e0f4,67374,True,byte,False,1000740712,1000740712,2206199696,1039441381,16937891.5,8408141,s6,27158,193.5,249,694,68124,10,20,sort
s6_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0,64.0,256,4,1500m,200,False,lz4,0,264.905,63.891163441007286,887.8651685393259,False,False,False,0,57038,499118,11591436,126345,225105970,2,1595119,3194138,True,,0,22,229,/data/spark-skew-data/skew64_rb256_p200_g8,50,200,1094,290,6097356,746584816,1524339,5,5336844,1334211,1.0,2,0,/home/ubuntu/spark-skew/results/s6/s6_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0_922176,194837,False,byte,False,2272004416,2272004416,2206199696,2253381788,35269068.0,8408141,s6,158040,178.0,229,577,195682,10,20,sort
s6_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0,64.0,256,4,1500m,200,False,lz4,0,43.243,63.891163441007286,116.31666666666666,False,False,False,0,57165,509219,5896104,114870,4857750,0,1593293,3190483,True,,0,26,250,/data/spark-skew-data/skew64_rb256_p200_g8,0,200,209,290,6239860,746584816,1559965,4,16384,4096,1.0,2,0,/home/ubuntu/spark-skew/results/s6/s6_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep0_edd0f3,57517,False,byte,False,2272004416,2272004416,2206199696,2253381788,35269068.0,8408141,s6,20937,180.0,225,487,58299,10,20,sort
s6_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1,64.0,256,4,1500m,200,False,lz4,1,55.242,62.932157005834405,136.21319796954316,False,False,False,0,67048,523292,7914732,115562,5646569,1,1590796,3185481,True,,0,11,99,/data/spark-skew-data/skew64_rb256_p200_g8,0,200,257,290,6088056,746584816,1522014,3,16488,4122,1.0,2,0,/home/ubuntu/spark-skew/results/s6/s6_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1_0528b4,67297,True,byte,False,1875258857,1875258857,2206199696,1944047992,30891170.5,8408141,s6,26834,197.0,251,608,68044,10,20,sort
s6_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1,64.0,256,4,1500m,200,False,lz4,1,237.032,62.932157005834405,807.2961165048544,False,False,False,0,69675,457687,9976924,201516,182165971,2,1595457,3194816,True,,0,21,388,/data/spark-skew-data/skew64_rb256_p200_g8,50,200,983,290,6193256,746584816,1548314,4,5473984,1368496,1.0,2,0,/home/ubuntu/spark-skew/results/s6/s6_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1_a4710e,207924,True,byte,False,1882393237,1882393237,2214588288,1944047992,30891170.5,8408141,s6,166303,206.0,259,528,208749,10,20,sort
s6_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1,64.0,256,4,1500m,200,False,zstd,1,55.354,61.367814346903806,138.3948717948718,False,False,False,0,66112,453091,4308808,83700,4657076,1,1594967,3193835,True,,0,13,99,/data/spark-skew-data/skew64_rb256_p200_g8,0,200,257,290,4007344,746584816,1001836,2,16384,4096,1.0,2,0,/home/ubuntu/spark-skew/results/s6/s6_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1_b9bb83,66317,True,byte,False,1000740712,1000740712,2206199696,1039441381,16937891.5,8408141,s6,26987,195.0,238,550,67085,10,20,sort
s6_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1,64.0,256,4,1500m,200,False,lz4,1,43.396,63.891163441007286,114.58953168044077,False,False,False,0,57278,515664,5999340,100121,4931206,1,1594144,3192185,True,,0,14,160,/data/spark-skew-data/skew64_rb256_p200_g8,0,200,211,290,6305964,746584816,1576491,4,16384,3968,1.0,2,0,/home/ubuntu/spark-skew/results/s6/s6_byt64_rb256_c4_m1500m_p200_aqe0_sort_rep1_e952c5,57545,False,byte,False,2272004416,2272004416,2206199696,2253381788,35269068.0,8408141,s6,20798,181.5,221,506,58328,10,20,sort
