run_id,skew,row_bytes,cores,exec_mem,partitions,aqe,codec,rep,wall_seconds,actual_size_skew,actual_time_skew,aqe_read_coalesced,aqe_read_skewed,aqe_split_detected,aqe_updates,cpu_ms_total,delta_ctxt,delta_pgpgout_kb,delta_psi_cpu_some_us,delta_psi_io_full_us,delta_psi_mem_full_us,dropped_caches,error,fetch_wait_ms_total,gc_ms_max_task,gc_ms_total,input,n_reduce_tasks,n_samples,n_tasks_total,peak_dirty_kb,peak_exec_mem_max,peak_writeback_kb,record_skew,reduce_stage_id,remote_to_disk_total,run_dir,run_ms_total,shuffle_compress,skew_mode,smj_skew,spill_disk_max_task,spill_disk_total,spill_mem_total,sr_bytes_max,sr_bytes_median,sr_records_max,tag,task_ms_max,task_ms_p50,task_ms_p90,task_ms_p99,task_ms_sum,workload
s4_byt1_rb256_c4_m1500m_p200_aqe1_join_rep1,1.0,256,4,1500m,200,True,lz4,1,25.503,1.5182077221828016,3.8823529411764706,True,False,False,4,27547,473649,4933164,85380,4821276,0,True,,0,13,407,/data/spark-skew-data/skew1_rb256_p200_g8,198,137,303,6069252,100728672,16384,1.0,5,0,/home/ubuntu/spark-skew/results/s4/s4_byt1_rb256_c4_m1500m_p200_aqe1_join_rep1_cd4509,28080,True,byte,False,0,0,0,61795470,40702908.5,263490,s4,528,136.0,171,509,29005,join
s4_byt1_rb256_c4_m1500m_p200_aqe1_join_rep2,1.0,256,4,1500m,200,True,lz4,2,26.164,1.5182077221828016,3.102189781021898,True,False,False,4,27286,487534,5013704,87300,5104972,0,True,,0,15,393,/data/spark-skew-data/skew1_rb256_p200_g8,198,139,303,6050260,100728672,16384,1.0,5,0,/home/ubuntu/spark-skew/results/s4/s4_byt1_rb256_c4_m1500m_p200_aqe1_join_rep2_f74979,27782,True,byte,False,0,0,0,61795470,40702908.5,263490,s4,425,137.0,169,411,28733,join
s4_byt32_rb256_c4_m1500m_p200_aqe0_join_rep0,32.0,256,4,1500m,200,False,lz4,0,30.813,31.40936702134077,56.447257383966246,False,False,False,0,30603,484004,5780600,107783,5835580,0,True,,0,20,456,/data/spark-skew-data/skew32_rb256_p200_g8,200,157,286,6035392,645987248,16568,1.0,3,0,/home/ubuntu/spark-skew/results/s4/s4_byt32_rb256_c4_m1500m_p200_aqe0_join_rep0_9372e0,31192,True,byte,False,1091795701,1091795701,1283454576,1105103887,35183895.5,4778733,s4,6689,118.5,147,531,32121,join
s4_byt32_rb256_c4_m1500m_p200_aqe0_join_rep1,32.0,256,4,1500m,200,False,lz4,1,30.172,31.40936702134077,55.256410256410255,False,False,False,0,29794,477017,5884208,91808,5847148,0,True,,0,27,381,/data/spark-skew-data/skew32_rb256_p200_g8,200,155,286,6082972,645987248,16504,1.0,3,0,/home/ubuntu/spark-skew/results/s4/s4_byt32_rb256_c4_m1500m_p200_aqe0_join_rep1_7c0c9d,30296,True,byte,False,1091795701,1091795701,1283454576,1105103887,35183895.5,4778733,s4,6465,117.0,150,426,31197,join
s4_byt32_rb256_c4_m1500m_p200_aqe0_join_rep2,32.0,256,4,1500m,200,False,lz4,2,31.929,31.40936702134077,56.08,False,False,False,0,30995,567091,5781248,95969,4860118,0,True,,0,184,901,/data/spark-skew-data/skew32_rb256_p200_g8,200,161,286,6088152,645987248,16384,1.0,3,0,/home/ubuntu/spark-skew/results/s4/s4_byt32_rb256_c4_m1500m_p200_aqe0_join_rep2_4df77d,32058,True,byte,False,1091795701,1091795701,1283454576,1105103887,35183895.5,4778733,s4,7010,125.0,150,512,33128,join
s4_byt32_rb256_c4_m1500m_p200_aqe1_join_rep0,32.0,256,4,1500m,200,True,lz4,0,25.743,1.9709907880669564,3.9846153846153847,False,True,True,4,26497,493687,5883412,92783,4864593,1,True,,0,14,493,/data/spark-skew-data/skew32_rb256_p200_g8,189,137,275,6066872,117505856,16384,1.0,5,0,/home/ubuntu/spark-skew/results/s4/s4_byt32_rb256_c4_m1500m_p200_aqe1_join_rep0_f272cd,27117,True,byte,True,0,0,0,75160724,38133473,325160,s4,518,130,202,503,28029,join
s4_byt32_rb256_c4_m1500m_p200_aqe1_join_rep1,32.0,256,4,1500m,200,True,lz4,1,25.297,1.9709907880669564,4.172932330827067,False,True,True,4,27069,495528,4748084,82015,4616781,0,True,,0,14,604,/data/spark-skew-data/skew32_rb256_p200_g8,189,135,275,6071264,117505856,16384,1.0,5,0,/home/ubuntu/spark-skew/results/s4/s4_byt32_rb256_c4_m1500m_p200_aqe1_join_rep1_8ec6f6,27820,True,byte,True,0,0,0,75160724,38133473,325160,s4,555,133,206,532,28809,join
s4_byt32_rb256_c4_m1500m_p200_aqe1_join_rep2,32.0,256,4,1500m,200,True,lz4,2,26.165,1.9709907880669564,3.75,False,True,True,4,28257,535656,5057412,81931,4579820,1,True,,0,25,1777,/data/spark-skew-data/skew32_rb256_p200_g8,189,139,275,6169796,117505856,15232,1.0,5,0,/home/ubuntu/spark-skew/results/s4/s4_byt32_rb256_c4_m1500m_p200_aqe1_join_rep2_54ca71,30172,True,byte,True,0,0,0,75160724,38133473,325160,s4,555,148,224,551,31503,join
s4_byt8_rb256_c4_m1500m_p200_aqe0_join_rep0,8.0,256,4,1500m,200,False,lz4,0,26.29,7.788699736560047,9.792307692307693,False,False,False,0,27450,478554,4728328,93487,4646517,1,True,,0,14,383,/data/spark-skew-data/skew8_rb256_p200_g8,200,139,280,6023888,260111952,12732,1.0,3,0,/home/ubuntu/spark-skew/results/s4/s4_byt8_rb256_c4_m1500m_p200_aqe0_join_rep0_996a65,27980,True,byte,False,121330694,121330694,142606064,305680797,39246704.5,1320161,s4,1273,130.0,162,471,28892,join
s4_byt8_rb256_c4_m1500m_p200_aqe0_join_rep1,8.0,256,4,1500m,200,False,lz4,1,26.77,7.788699736560047,9.722007722007723,False,False,False,0,27627,513341,5987412,102525,4766763,1,True,,0,13,404,/data/spark-skew-data/skew8_rb256_p200_g8,200,141,280,6065456,260111952,16384,1.0,3,0,/home/ubuntu/spark-skew/results/s4/s4_byt8_rb256_c4_m1500m_p200_aqe0_join_rep1_fec812,28168,True,byte,False,121330694,121330694,142606064,305680797,39246704.5,1320161,s4,1259,129.5,160,549,29098,join
