run_id,skew,row_bytes,cores,exec_mem,partitions,aqe,codec,rep,wall_seconds,actual_size_skew,actual_time_skew,aqe_read_coalesced,aqe_read_skewed,aqe_split_detected,aqe_updates,cpu_ms_total,delta_ctxt,delta_pgpgout_kb,delta_psi_cpu_some_us,delta_psi_io_full_us,delta_psi_mem_full_us,dropped_caches,error,fetch_wait_ms_total,gc_ms_max_task,gc_ms_total,input,n_reduce_tasks,n_samples,n_tasks_total,peak_dirty_kb,peak_exec_mem_max,peak_writeback_kb,record_skew,reduce_stage_id,remote_to_disk_total,run_dir,run_ms_total,shuffle_compress,skew_mode,smj_skew,spill_disk_max_task,spill_disk_total,spill_mem_total,sr_bytes_max,sr_bytes_median,sr_records_max,tag,task_ms_max,task_ms_p50,task_ms_p90,task_ms_p99,task_ms_sum,workload
s4smoke_byt16_rb256_c4_m1500m_p200_aqe1_join_rep0,16.0,256,4,1500m,200,True,lz4,0,26.454,1.6708260816744693,4.178082191780822,False,True,True,4,28165,562738,5243160,86179,4562360,1,True,,0,31,1762,/data/spark-skew-data/skew16_rb256_p200_g8,200,139,283,6109432,100728672,14632,1.0,5,0,/home/ubuntu/spark-skew/results/s4smoke/s4smoke_byt16_rb256_c4_m1500m_p200_aqe1_join_rep0_4ef6e6,30034,True,byte,True,0,0,0,64275128,38469071.5,273962,s4smoke,610,146.0,188,555,31398,join
s4smoke_rec16_rb64_c4_m1500m_p200_aqe1_join_rep0,1.0,64,4,1500m,200,True,lz4,0,20.42,1.5169616931585612,3.6666666666666665,True,False,False,4,14424,483868,2133188,83269,3985977,0,True,,0,13,376,/data/spark-skew-data/rec16_rb64_cb2048_p200_g8,198,115,309,6058180,92340080,16384,16.0,5,0,/home/ubuntu/spark-skew/results/s4smoke/s4smoke_rec16_rb64_c4_m1500m_p200_aqe1_join_rep0_ea0783,14936,True,record,False,0,0,0,61426590,40493171.5,331571,s4smoke,275,75.0,96,271,15909,join
