run_id,skew,row_bytes,cores,exec_mem,partitions,aqe,codec,rep,wall_seconds,actual_size_skew,actual_time_skew,aqe_read_coalesced,aqe_read_skewed,aqe_split_detected,aqe_updates,cpu_ms_total,delta_ctxt,delta_pgpgout_kb,delta_psi_cpu_some_us,delta_psi_io_full_us,delta_psi_mem_full_us,dirty_bg_threshold_pages,dirty_threshold_pages,dropped_caches,error,fetch_wait_ms_total,gc_ms_max_task,gc_ms_total,input,io_cap_mbps,n_reduce_tasks,n_samples,n_tasks_total,peak_dirty_kb,peak_exec_mem_max,peak_nr_dirty_pages,peak_procs_blocked,peak_writeback_kb,peak_writeback_pages,record_skew,reduce_stage_id,remote_to_disk_total,run_dir,run_ms_total,shuffle_compress,skew_mode,smj_skew,spill_disk_all_stages,spill_disk_max_task,spill_disk_total,spill_mem_total,sr_bytes_max,sr_bytes_median,sr_records_max,sw_bytes_all_stages,tag,task_ms_max,task_ms_p50,task_ms_p90,task_ms_p99,task_ms_sum,total_written_bytes,vm_dirty_background_ratio,vm_dirty_ratio,workload
s6v2_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0,16.0,256,4,1500m,200,False,zstd,0,48.494,15.298182030059113,24.0,False,False,False,0,46670,418557,4190224,140933,70759404,0,1595065,3194031,True,,0,10,159,/data/spark-skew-data/skew16_rb256_p200_g8,50,200,437,279,3303848,587201568,825962,4,1811056,452764,1.0,2,0,/home/ubuntu/spark-skew/results/s6v2/s6v2_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0_04fc74,46919,True,byte,False,76404079,76404079,76404079,167771840,316905650,20715249.0,2558702,4431347175,s6v2,4920,205.0,262,492,47647,4507751254,10,20,sort
s6v2_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0,16.0,256,4,1500m,200,False,lz4,0,207.959,15.889055518814175,22.571428571428573,False,False,False,0,43774,459140,9170588,109501,184104108,0,1595335,3194571,True,,0,13,238,/data/spark-skew-data/skew16_rb256_p200_g8,50,200,865,279,4703864,587201568,1176094,4,7015548,1753887,1.0,2,0,/home/ubuntu/spark-skew/results/s6v2/s6v2_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0_12f09c,44102,False,byte,False,172776004,172776004,172776004,167771840,685732136,43157514.0,2558702,9275038604,s6v2,4266,189.0,258,610,44834,9447814608,10,20,sort
s6v2_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0,16.0,256,4,1500m,200,False,zstd,0,39.223,15.298182030059113,24.307317073170733,False,False,False,0,47896,384455,1615292,73758,10157438,1,1595093,3194086,True,,0,7,70,/data/spark-skew-data/skew16_rb256_p200_g8,200,200,190,279,3192716,587201568,798179,5,1201104,300276,1.0,2,0,/home/ubuntu/spark-skew/results/s6v2/s6v2_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0_2134e0,48060,True,byte,False,76404079,76404079,76404079,167771840,316905650,20715249.0,2558702,4431347175,s6v2,4983,205.0,264,629,48753,4507751254,10,20,sort
s6v2_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0,16.0,256,4,1500m,200,False,lz4,0,33.009,15.662230940346296,25.098591549295776,False,False,False,0,48421,470816,5762392,79593,9802278,0,1593462,3190820,True,,0,59,233,/data/spark-skew-data/skew16_rb256_p200_g8,0,200,185,279,6042480,587201568,1510620,3,15264,3840,1.0,2,0,/home/ubuntu/spark-skew/results/s6v2/s6v2_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0_42a9e3,48750,True,byte,False,143160769,143160769,143160769,167771840,591971286,37796102.5,2558702,8114891979,s6v2,5346,213.0,270,494,49481,8258052748,10,20,sort
s6v2_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0,16.0,256,4,1500m,200,False,lz4,0,38.874,15.662230940346296,23.38425925925926,False,False,False,0,48272,461936,2785800,112584,10297801,0,1595408,3194717,True,,0,12,297,/data/spark-skew-data/skew16_rb256_p200_g8,200,200,195,279,5851988,587201568,1462997,5,1320608,330152,1.0,2,0,/home/ubuntu/spark-skew/results/s6v2/s6v2_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0_4a8286,48674,True,byte,False,143160769,143160769,143160769,167771840,591971286,37796102.5,2558702,8114891979,s6v2,5051,216.0,268,502,49414,8258052748,10,20,sort
s6v2_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0,16.0,256,4,1500m,200,False,lz4,0,48.999,15.662230940346296,24.0,False,False,False,0,48251,484652,8116700,162382,142530614,0,1595479,3194860,True,,0,12,331,/data/spark-skew-data/skew16_rb256_p200_g8,50,200,727,279,5433464,587201568,1358366,3,5398656,1349664,1.0,2,0,/home/ubuntu/spark-skew/results/s6v2/s6v2_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0_5ad884,48706,True,byte,False,143160769,143160769,143160769,167771840,591971286,37796102.5,2558702,8114891979,s6v2,5124,213.5,268,512,49477,8258052748,10,20,sort
s6v2_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0,16.0,256,4,1500m,200,False,zstd,0,35.637,15.298182030059113,23.498783454987834,False,False,False,0,46385,406006,1221596,126411,5357252,0,1595028,3193955,True,,0,8,112,/data/spark-skew-data/skew16_rb256_p200_g8,100,200,174,279,3192884,587201568,798221,4,1040728,260182,1.0,2,0,/home/ubuntu/spark-skew/results/s6v2/s6v2_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0_77d5be,46580,True,byte,False,76404079,76404079,76404079,167771840,316905650,20715249.0,2558702,4431347175,s6v2,4829,205.5,257,469,47278,4507751254,10,20,sort
s6v2_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0,16.0,256,4,1500m,200,False,zstd,0,32.655,15.298182030059113,24.385365853658538,False,False,False,0,46427,379389,309136,71063,3851042,0,1595177,3194256,True,,0,8,127,/data/spark-skew-data/skew16_rb256_p200_g8,0,200,163,279,4331504,587201568,1082876,2,0,0,1.0,2,0,/home/ubuntu/spark-skew/results/s6v2/s6v2_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0_7e2061,46676,True,byte,False,76404079,76404079,76404079,167771840,316905650,20715249.0,2558702,4431347175,s6v2,4999,205.0,254,510,47382,4507751254,10,20,sort
s6v2_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0,16.0,256,4,1500m,200,False,lz4,0,26.815,15.889055518814175,22.943877551020407,False,False,False,0,44666,429070,7163168,168370,20250432,0,1593051,3189998,True,,0,16,175,/data/spark-skew-data/skew16_rb256_p200_g8,200,200,208,279,6013052,587201568,1503263,3,5029440,1257360,1.0,2,0,/home/ubuntu/spark-skew/results/s6v2/s6v2_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0_87af17,44939,False,byte,False,172776004,172776004,172776004,167771840,685732136,43157514.0,2558702,9275038604,s6v2,4497,196.0,249,498,45666,9447814608,10,20,sort
s6v2_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0,16.0,256,4,1500m,200,False,lz4,0,45.186,15.662230940346296,24.295238095238094,False,False,False,0,47685,465264,2838056,129356,15897298,0,1595639,3195181,True,,0,13,299,/data/spark-skew-data/skew16_rb256_p200_g8,100,200,215,279,5801240,578812976,1450310,5,1782796,445699,1.0,2,0,/home/ubuntu/spark-skew/results/s6v2/s6v2_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0_b34f71,48102,True,byte,False,150302538,150302538,150302538,176160432,591971286,37796102.5,2558702,8114891979,s6v2,5102,210.0,264,499,48849,8265194517,10,20,sort
