run_id,skew,row_bytes,cores,exec_mem,partitions,aqe,codec,rep,wall_seconds,actual_size_skew,actual_time_skew,agg_fallback_all,agg_fallback_hot,agg_fallback_reduce,agg_fallback_reduce_total,agg_op,aqe_read_coalesced,aqe_read_skewed,aqe_split_detected,aqe_updates,avg_write_mbps,cgroup_write_mbps,cgroup_written_bytes,cpu_ms_total,delta_ctxt,delta_pgpgout_kb,delta_psi_cpu_some_us,delta_psi_io_full_us,delta_psi_mem_full_us,dim_keys,dim_mb_est,dim_row_bytes,dirty_bg_threshold_pages,dirty_threshold_pages,dropped_caches,error,extra_conf,fetch_wait_ms_total,gc_ms_max_task,gc_ms_total,has_peak_mem_metric,input,io_cap_applied,io_cap_mbps,label,n_reduce_tasks,n_samples,n_tasks_total,peak_dirty_kb,peak_exec_mem_max,peak_nr_dirty_pages,peak_procs_blocked,peak_writeback_kb,peak_writeback_pages,record_skew,reduce_stage_id,remote_to_disk_total,run_dir,run_ms_total,salt,shuffle_compress,skew_mode,smj_skew,spill_disk_all_stages,spill_disk_max_task,spill_disk_total,spill_mem_total,sr_bytes_max,sr_bytes_median,sr_records_max,sw_bytes_all_stages,tag,task_ms_max,task_ms_p50,task_ms_p90,task_ms_p99,task_ms_sum,total_written_bytes,vm_dirty_background_ratio,vm_dirty_ratio,workload
s11_byt1_rb256_c4_m1500m_p200_aqe0_join_aqefalse_rep0,1.0,256,4,1500m,200,False,lz4,0,7.7,1.438896420171031,9.25,,,,,,False,False,False,0,,,,4875,265492,96,52756,3092006,1,10001,0.3,32,1589151,3182187,True,,,0,6,115,True,/data/spark-skew-data/skew1_rb256_p200_g1,,0,aqefalse,200,63,220,990548,17891296,247637,1,12,3,1.0,3,0,/home/ubuntu/spark-skew/results/s11/s11_byt1_rb256_c4_m1500m_p200_aqe0_join_aqefalse_rep0_54fcc3,5102,0,True,byte,False,0,0,0,0,7241552,5032712.5,30893,1010871505,s11,222,24.0,35,212,5986,1010871505,10,20,join
s11_byt1_rb256_c4_m1500m_p200_aqe0_join_aqefalse_rep1,1.0,256,4,1500m,200,False,lz4,1,7.782,1.438896420171031,9.72,,,,,,False,False,False,0,,,,5055,276240,207628,50629,3097690,0,10001,0.3,32,1592554,3189001,True,,,0,8,154,True,/data/spark-skew-data/skew1_rb256_p200_g1,,0,aqefalse,200,63,220,990848,17891296,247712,2,0,0,1.0,3,0,/home/ubuntu/spark-skew/results/s11/s11_byt1_rb256_c4_m1500m_p200_aqe0_join_aqefalse_rep1_e22795,5353,0,True,byte,False,0,0,0,0,7241552,5032712.5,30893,1010871505,s11,243,25.0,38,238,6254,1010871505,10,20,join
s11_byt1_rb256_c4_m1500m_p200_aqe1_join_aqetrue_rep0,1.0,256,4,1500m,200,True,lz4,0,7.664,1.0432384802098849,2.4701195219123506,,,,,,True,False,False,4,,,,4936,259055,100,51664,3133398,0,10001,0.3,32,1584357,3172589,True,,,3,18,150,True,/data/spark-skew-data/skew1_rb256_p200_g1,,0,aqetrue,17,63,37,990128,100728672,247532,1,0,0,1.0,5,0,/home/ubuntu/spark-skew/results/s11/s11_byt1_rb256_c4_m1500m_p200_aqe1_join_aqetrue_rep0_3f4f4c,5309,0,True,byte,False,0,0,0,0,63357154,60731228,270440,1010871505,s11,620,251,614,620,5483,1010871505,10,20,join
s11_byt1_rb256_c4_m1500m_p200_aqe1_join_aqetrue_rep1,1.0,256,4,1500m,200,True,lz4,1,7.572,1.0432384802098849,2.0155038759689923,,,,,,True,False,False,4,,,,4662,266867,104,49735,3043695,0,10001,0.3,32,1583418,3170708,True,,,0,13,118,True,/data/spark-skew-data/skew1_rb256_p200_g1,,0,aqetrue,17,61,37,993452,100728672,248363,3,0,0,1.0,5,0,/home/ubuntu/spark-skew/results/s11/s11_byt1_rb256_c4_m1500m_p200_aqe1_join_aqetrue_rep1_cb24e4,4985,0,True,byte,False,0,0,0,0,63357154,60731228,270440,1010871505,s11,520,258,509,520,5153,1010871505,10,20,join
s11_byt20_rb256_c4_m1500m_p200_aqe0_join_aqefalse_rep0,20.0,256,4,1500m,200,False,lz4,0,7.903,19.66488406710756,11.045454545454545,,,,,,False,False,False,0,,,,4768,310961,203032,54799,3128495,0,10001,0.3,32,1583673,3171219,True,,,0,9,145,True,/data/spark-skew-data/skew20_rb256_p200_g1,,0,aqefalse,200,63,226,987024,134283040,246756,3,0,0,1.0,3,0,/home/ubuntu/spark-skew/results/s11/s11_byt20_rb256_c4_m1500m_p200_aqe0_join_aqefalse_rep0_c3f62c,5042,0,True,byte,False,0,0,0,0,90241976,4588991.0,390147,1006872326,s11,243,22.0,32,240,5918,1006872326,10,20,join
s11_byt20_rb256_c4_m1500m_p200_aqe0_join_aqefalse_rep1,20.0,256,4,1500m,200,False,lz4,1,8.07,19.66488406710756,10.434782608695652,,,,,,False,False,False,0,,,,4928,289181,270036,55868,3141550,0,10001,0.3,32,1585800,3175479,True,,,0,9,126,True,/data/spark-skew-data/skew20_rb256_p200_g1,,0,aqefalse,200,65,226,986840,134283040,246614,1,28,229,1.0,3,0,/home/ubuntu/spark-skew/results/s11/s11_byt20_rb256_c4_m1500m_p200_aqe0_join_aqefalse_rep1_e165a0,5159,0,True,byte,False,0,0,0,0,90241976,4588991.0,390147,1006872326,s11,240,23.0,33,227,6054,1006872326,10,20,join
s11_byt20_rb256_c4_m1500m_p200_aqe1_join_aqetrue_rep0,20.0,256,4,1500m,200,True,lz4,0,7.486,1.491452531232388,2.3559322033898304,,,,,,True,False,False,4,,,,4499,265415,100,44873,3002470,2,10001,0.3,32,1588824,3181532,True,,,0,16,144,True,/data/spark-skew-data/skew20_rb256_p200_g1,,0,aqetrue,17,61,43,985516,134283040,246379,1,0,0,1.0,5,0,/home/ubuntu/spark-skew/results/s11/s11_byt20_rb256_c4_m1500m_p200_aqe1_join_aqetrue_rep0_583796,4847,0,True,byte,False,0,0,0,0,90241976,60506100,390147,1006872326,s11,556,236,526,556,5013,1006872326,10,20,join
s11_byt20_rb256_c4_m1500m_p200_aqe1_join_aqetrue_rep1,20.0,256,4,1500m,200,True,lz4,1,7.585,1.491452531232388,2.3869731800766285,,,,,,True,False,False,4,,,,4914,258376,4380,44067,3068402,0,10001,0.3,32,1588634,3181152,True,,,0,23,184,True,/data/spark-skew-data/skew20_rb256_p200_g1,,0,aqetrue,17,61,43,984304,134283040,246076,2,392,98,1.0,5,0,/home/ubuntu/spark-skew/results/s11/s11_byt20_rb256_c4_m1500m_p200_aqe1_join_aqetrue_rep1_7811f4,5331,0,True,byte,False,0,0,0,0,90241976,60506100,390147,1006872326,s11,623,261,615,623,5496,1006872326,10,20,join
s11_byt32_rb256_c4_m1500m_p200_aqe0_join_none_rep0,32.0,256,4,1500m,200,False,lz4,0,18.185,31.43065900748787,51.78787878787879,,,,,,False,False,False,0,,,,16295,385470,1156,73839,3422656,0,10001,0.3,32,1584968,3173813,True,,,0,20,424,True,/data/spark-skew-data/skew32_rb256_p200_g4,,0,none,200,105,249,4432812,645987248,1108203,1,0,0,1.0,3,0,/home/ubuntu/spark-skew/results/s11/s11_byt32_rb256_c4_m1500m_p200_aqe0_join_none_rep0_2ea9b2,16896,0,True,byte,False,485250037,485250037,485250037,570424256,551425092,17544178.5,2384524,4046116967,s11,3418,66.0,84,363,17854,4531367004,10,20,join
s11_byt32_rb256_c4_m1500m_p200_aqe0_join_none_rep1,32.0,256,4,1500m,200,False,lz4,1,18.052,31.43065900748787,52.06060606060606,,,,,,False,False,False,0,,,,16276,389428,1152,70037,3333325,0,10001,0.3,32,1584440,3172755,True,,,0,21,399,True,/data/spark-skew-data/skew32_rb256_p200_g4,,0,none,200,105,249,4432672,645987248,1108168,3,0,0,1.0,3,0,/home/ubuntu/spark-skew/results/s11/s11_byt32_rb256_c4_m1500m_p200_aqe0_join_none_rep1_7ecd4b,16865,0,True,byte,False,485250037,485250037,485250037,570424256,551425092,17544178.5,2384524,4046116967,s11,3436,66.0,86,355,17824,4531367004,10,20,join
