run_id,skew,row_bytes,cores,exec_mem,partitions,aqe,codec,rep,wall_seconds,actual_size_skew,actual_time_skew,aqe_read_coalesced,aqe_read_skewed,aqe_split_detected,aqe_updates,avg_write_mbps,cgroup_write_mbps,cgroup_written_bytes,cpu_ms_total,delta_ctxt,delta_pgpgout_kb,delta_psi_cpu_some_us,delta_psi_io_full_us,delta_psi_mem_full_us,dirty_bg_threshold_pages,dirty_threshold_pages,dropped_caches,error,fetch_wait_ms_total,gc_ms_max_task,gc_ms_total,input,io_cap_applied,io_cap_mbps,n_reduce_tasks,n_samples,n_tasks_total,peak_dirty_kb,peak_exec_mem_max,peak_nr_dirty_pages,peak_procs_blocked,peak_writeback_kb,peak_writeback_pages,record_skew,reduce_stage_id,remote_to_disk_total,run_dir,run_ms_total,shuffle_compress,skew_mode,smj_skew,spill_disk_all_stages,spill_disk_max_task,spill_disk_total,spill_mem_total,sr_bytes_max,sr_bytes_median,sr_records_max,sw_bytes_all_stages,tag,task_ms_max,task_ms_p50,task_ms_p90,task_ms_p99,task_ms_sum,total_written_bytes,vm_dirty_background_ratio,vm_dirty_ratio,workload
s8_byt16_rb256_c1_m1500m_p200_aqe0_agg_rep0,16.0,256,1,1500m,200,False,lz4,0,68.815,20.228326438697707,17.05263157894737,False,False,False,0,,,,3864,475244,162748,104241,4326266,2,1593777,3191452,True,,0,73,163,/data/spark-skew-data/skew16_rb256_p200_g8,,0,200,307,279,186204,0,46551,1,528,132,1.0,2,0,/home/ubuntu/spark-skew/results/s8/s8_byt16_rb256_c1_m1500m_p200_aqe0_agg_rep0_e35092,3935,True,byte,False,0,0,0,0,29292771,1448106.5,4824,316934695,s8,324,19.0,27,37,4593,316934695,10,20,agg
s8_byt16_rb256_c1_m1500m_p200_aqe0_agg_rep1,16.0,256,1,1500m,200,False,lz4,1,69.188,20.228326438697707,17.36842105263158,False,False,False,0,,,,3859,491958,168148,108635,4219934,0,1590855,3185600,True,,0,81,162,/data/spark-skew-data/skew16_rb256_p200_g8,,0,200,309,279,182752,0,45688,1,444,111,1.0,2,0,/home/ubuntu/spark-skew/results/s8/s8_byt16_rb256_c1_m1500m_p200_aqe0_agg_rep1_e3a5e5,3933,True,byte,False,0,0,0,0,29292771,1448106.5,4824,316934695,s8,330,19.0,27,38,4584,316934695,10,20,agg
s8_byt16_rb256_c1_m1500m_p200_aqe0_join_rep0,16.0,256,1,1500m,200,False,lz4,0,81.893,15.661555668525377,29.677419354838708,False,False,False,0,,,,26488,542134,7466492,153816,6271853,0,1593409,3190714,True,,0,23,773,/data/spark-skew-data/skew16_rb256_p200_g8,,0,200,361,280,4941932,671153888,1235483,2,14672,3668,1.0,3,0,/home/ubuntu/spark-skew/results/s8/s8_byt16_rb256_c1_m1500m_p200_aqe0_join_rep0_081f68,27076,True,byte,False,485255643,485255643,485255643,570425072,591970861,37797705.0,2558748,8115025812,s8,3680,124.0,149,183,28682,8600281455,10,20,join
s8_byt16_rb256_c1_m1500m_p200_aqe0_join_rep1,16.0,256,1,1500m,200,False,lz4,1,81.525,15.661555668525377,29.112,False,False,False,0,,,,26336,557099,7672020,177893,6195793,0,1593299,3190494,True,,0,38,889,/data/spark-skew-data/skew16_rb256_p200_g8,,0,200,359,280,4830600,671153888,1207650,3,16384,4096,1.0,3,0,/home/ubuntu/spark-skew/results/s8/s8_byt16_rb256_c1_m1500m_p200_aqe0_join_rep1_a5202a,27007,True,byte,False,485255643,485255643,485255643,570425072,591970861,37797705.0,2558748,8115025812,s8,3639,125.0,145,183,28705,8600281455,10,20,join
s8_byt16_rb256_c1_m1500m_p200_aqe0_sort_rep0,16.0,256,1,1500m,200,False,lz4,0,95.583,15.661798283793441,40.98050139275766,False,False,False,0,,,,42402,551912,7950548,167120,5540930,0,1593356,3190608,True,,0,18,365,/data/spark-skew-data/skew16_rb256_p200_g8,,0,200,415,279,5938736,738197184,1484684,2,11008,2851,1.0,2,0,/home/ubuntu/spark-skew/results/s8/s8_byt16_rb256_c1_m1500m_p200_aqe0_sort_rep0_b55957,43029,True,byte,False,570674401,570674401,570674401,671088320,591970274,37797082.0,2558702,8114901074,s8,7356,179.5,222,282,44056,8685575475,10,20,sort
s8_byt16_rb256_c1_m1500m_p200_aqe0_sort_rep1,16.0,256,1,1500m,200,False,lz4,1,95.682,15.661798283793441,42.11602209944751,False,False,False,0,,,,42953,540141,7942024,172034,5870726,0,1592123,3188140,True,,0,80,358,/data/spark-skew-data/skew16_rb256_p200_g8,,0,200,415,279,5979360,738197184,1494840,2,12204,3051,1.0,2,0,/home/ubuntu/spark-skew/results/s8/s8_byt16_rb256_c1_m1500m_p200_aqe0_sort_rep1_de5354,43590,True,byte,False,570674401,570674401,570674401,671088320,591970274,37797082.0,2558702,8114901074,s8,7623,181.0,223,265,44526,8685575475,10,20,sort
s8_byt16_rb256_c2_m1500m_p200_aqe0_agg_rep0,16.0,256,2,1500m,200,False,lz4,0,36.875,20.228326438697707,14.454545454545455,False,False,False,0,,,,4123,366643,8032,69490,3900923,1,1594728,3193355,True,,0,56,370,/data/spark-skew-data/skew16_rb256_p200_g8,,0,200,179,279,316324,0,79081,2,40,10,1.0,2,0,/home/ubuntu/spark-skew/results/s8/s8_byt16_rb256_c2_m1500m_p200_aqe0_agg_rep0_f4acbd,4395,True,byte,False,0,0,0,0,29292771,1448106.5,4824,316934695,s8,318,22.0,32,95,5124,316934695,10,20,agg
s8_byt16_rb256_c2_m1500m_p200_aqe0_agg_rep1,16.0,256,2,1500m,200,False,lz4,1,36.823,20.228326438697707,14.930232558139535,False,False,False,0,,,,4019,369650,8476,79383,3885028,1,1593648,3191192,True,,0,85,424,/data/spark-skew-data/skew16_rb256_p200_g8,,0,200,179,279,311828,0,77957,1,12,3,1.0,2,0,/home/ubuntu/spark-skew/results/s8/s8_byt16_rb256_c2_m1500m_p200_aqe0_agg_rep1_1fc60d,4321,True,byte,False,0,0,0,0,29292771,1448106.5,4824,316934695,s8,321,21.5,31,96,5083,316934695,10,20,agg
s8_byt16_rb256_c2_m1500m_p200_aqe0_join_rep0,16.0,256,2,1500m,200,False,lz4,0,44.801,15.661520925717468,19.48148148148148,False,False,False,0,,,,27183,537885,5987208,103880,4967570,0,1595091,3194082,True,,0,78,1362,/data/spark-skew-data/skew16_rb256_p200_g8,,0,200,213,281,6193524,503381600,1548381,2,16128,4032,1.0,3,0,/home/ubuntu/spark-skew/results/s8/s8_byt16_rb256_c2_m1500m_p200_aqe0_join_rep0_75af24,28410,True,byte,False,242637388,242637388,242637388,285212400,591970973,37797796.0,2558748,8115046013,s8,2630,135.0,162,354,29909,8357683401,10,20,join
s8_byt16_rb256_c2_m1500m_p200_aqe0_join_rep1,16.0,256,2,1500m,200,False,lz4,1,44.758,15.661520925717468,19.714285714285715,False,False,False,0,,,,26637,577709,4436168,112983,5080968,1,1594774,3193448,True,,0,83,1343,/data/spark-skew-data/skew16_rb256_p200_g8,,0,200,213,281,5868448,503381600,1467112,2,14736,3684,1.0,3,0,/home/ubuntu/spark-skew/results/s8/s8_byt16_rb256_c2_m1500m_p200_aqe0_join_rep1_8e4773,27843,True,byte,False,242637388,242637388,242637388,285212400,591970973,37797796.0,2558748,8115046013,s8,2622,133.0,156,329,29320,8357683401,10,20,join
