run_id,skew,row_bytes,cores,exec_mem,partitions,aqe,codec,rep,wall_seconds,actual_size_skew,actual_time_skew,cpu_ms_total,delta_ctxt,delta_pgpgout_kb,delta_psi_cpu_some_us,delta_psi_io_full_us,delta_psi_mem_full_us,dropped_caches,error,fetch_wait_ms_total,gc_ms_max_task,gc_ms_total,input,n_reduce_tasks,n_samples,n_tasks_total,peak_dirty_kb,peak_exec_mem_max,peak_writeback_kb,reduce_stage_id,remote_to_disk_total,run_dir,run_ms_total,shuffle_compress,spill_disk_max_task,spill_disk_total,spill_mem_total,sr_bytes_max,sr_bytes_median,sr_records_max,tag,task_ms_max,task_ms_p50,task_ms_p90,task_ms_p99,task_ms_sum,workload
s1_ec2_skew16_rb256_c4_m1500m_p200_aqe0_lz4_rep0,16.0,256,4,1500m,200,False,lz4,0,32.088,15.65904559964926,23.382775119617225,46348,447409,6019448,85638,4663151,0,True,,0,8,154,/data/spark-skew-data/skew16_rb256_p200_g8,200,163,279,6080636,570424384,16384,2,0,/home/ubuntu/spark-skew/results/s1_ec2/s1_ec2_skew16_rb256_c4_m1500m_p200_aqe0_lz4_rep0_7881da,46612,True,143159833,143159833,167771840,573966814,36654010.0,2480885,s1_ec2,4887,209.0,255,510,47344,sort
s1_ec2_skew16_rb256_c4_m1500m_p200_aqe0_lz4_rep1,16.0,256,4,1500m,200,False,lz4,1,31.992,15.65904559964926,23.638613861386137,46012,460231,6019168,77468,4637941,1,True,,0,15,154,/data/spark-skew-data/skew16_rb256_p200_g8,200,161,279,6096084,562035792,16128,2,0,/home/ubuntu/spark-skew/results/s1_ec2/s1_ec2_skew16_rb256_c4_m1500m_p200_aqe0_lz4_rep1_039a7e,46280,True,150292162,150292162,176160432,573966814,36654010.0,2480885,s1_ec2,4775,202.0,255,495,46991,sort
s1_ec2_skew16_rb256_c4_m1500m_p200_aqe0_lz4_rep2,16.0,256,4,1500m,200,False,lz4,2,32.127,15.65904559964926,23.770731707317072,46570,483174,6018940,88355,4788163,0,True,,0,8,72,/data/spark-skew-data/skew16_rb256_p200_g8,200,161,279,6073008,570424384,14548,2,0,/home/ubuntu/spark-skew/results/s1_ec2/s1_ec2_skew16_rb256_c4_m1500m_p200_aqe0_lz4_rep2_3a1ca2,46748,True,143159833,143159833,167771840,573966814,36654010.0,2480885,s1_ec2,4873,205.0,256,515,47438,sort
s1_ec2_skew16_rb256_c4_m1500m_p200_aqe0_lz4_rep3,16.0,256,4,1500m,200,False,lz4,3,32.13,15.65904559964926,23.7609756097561,46244,524829,6019336,80634,4534435,0,True,,0,13,347,/data/spark-skew-data/skew16_rb256_p200_g8,200,161,279,6105416,570424384,16500,2,0,/home/ubuntu/spark-skew/results/s1_ec2/s1_ec2_skew16_rb256_c4_m1500m_p200_aqe0_lz4_rep3_bb5611,46685,True,143159833,143159833,167771840,573966814,36654010.0,2480885,s1_ec2,4871,205.0,261,510,47470,sort
s1_ec2_skew16_rb256_c4_m1500m_p200_aqe0_lz4_rep4,16.0,256,4,1500m,200,False,lz4,4,33.597,15.65904559964926,25.232558139534884,49569,503494,6018604,89488,4608743,0,True,,0,56,205,/data/spark-skew-data/skew16_rb256_p200_g8,200,167,279,6083796,570424384,14640,2,0,/home/ubuntu/spark-skew/results/s1_ec2/s1_ec2_skew16_rb256_c4_m1500m_p200_aqe0_lz4_rep4_685d2a,49904,True,143159833,143159833,167771840,573966814,36654010.0,2480885,s1_ec2,5425,215.0,270,715,50595,sort
s1_ec2_skew1_rb256_c4_m1500m_p200_aqe0_lz4_rep0,1.0,256,4,1500m,200,False,lz4,0,29.447,1.4409832111049814,2.54978354978355,47496,436138,7137836,78986,5081776,2,True,,0,14,120,/data/spark-skew-data/skew1_rb256_p200_g8,200,150,268,6054264,75497344,16176,2,0,/home/ubuntu/spark-skew/results/s1_ec2/s1_ec2_skew1_rb256_c4_m1500m_p200_aqe0_lz4_rep0_b56a24,47701,True,0,0,0,56719167,39361435.0,241501,s1_ec2,589,231.0,287,546,48406,sort
s1_ec2_skew1_rb256_c4_m1500m_p200_aqe0_lz4_rep1,1.0,256,4,1500m,200,False,lz4,1,28.7,1.4409832111049814,2.4144144144144146,45297,416453,2315688,80801,4248596,0,True,,0,8,115,/data/spark-skew-data/skew1_rb256_p200_g8,200,149,268,5390556,75497344,11776,2,0,/home/ubuntu/spark-skew/results/s1_ec2/s1_ec2_skew1_rb256_c4_m1500m_p200_aqe0_lz4_rep1_4e3025,45505,True,0,0,0,56719167,39361435.0,241501,s1_ec2,536,222.0,272,521,46216,sort
s1_ec2_skew1_rb256_c4_m1500m_p200_aqe0_lz4_rep2,1.0,256,4,1500m,200,False,lz4,2,29.809,1.4409832111049814,2.440449438202247,45110,462458,5084984,79589,5407037,3,True,,0,13,260,/data/spark-skew-data/skew1_rb256_p200_g8,200,153,268,6092876,75497344,14952,2,0,/home/ubuntu/spark-skew/results/s1_ec2/s1_ec2_skew1_rb256_c4_m1500m_p200_aqe0_lz4_rep2_a15824,45523,True,0,0,0,56719167,39361435.0,241501,s1_ec2,543,222.5,275,530,46259,sort
s1_ec2_skew1_rb256_c4_m1500m_p200_aqe0_lz4_rep3,1.0,256,4,1500m,200,False,lz4,3,28.766,1.4409832111049814,2.3755656108597285,45008,454498,2315904,81442,4401629,1,True,,0,8,116,/data/spark-skew-data/skew1_rb256_p200_g8,200,149,268,5430088,75497344,12032,2,0,/home/ubuntu/spark-skew/results/s1_ec2/s1_ec2_skew1_rb256_c4_m1500m_p200_aqe0_lz4_rep3_f83f78,45212,True,0,0,0,56719167,39361435.0,241501,s1_ec2,525,221.0,272,505,45912,sort
s1_ec2_skew1_rb256_c4_m1500m_p200_aqe0_lz4_rep4,1.0,256,4,1500m,200,False,lz4,4,28.996,1.4409832111049814,2.2217391304347824,46658,457884,5546552,81460,4626061,0,True,,0,12,120,/data/spark-skew-data/skew1_rb256_p200_g8,200,149,268,6065340,75497344,16384,2,0,/home/ubuntu/spark-skew/results/s1_ec2/s1_ec2_skew1_rb256_c4_m1500m_p200_aqe0_lz4_rep4_d8bc26,46862,True,0,0,0,56719167,39361435.0,241501,s1_ec2,511,230.0,287,505,47569,sort
